,demand_PNG,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,Hydro_B,Geothermal_B
t1721,682.613,510024.8,0,510024.8,0,0.161434591,114.4685669,115000,10958.9
t1722,646.7569,113331,66.42665,113331,66.42665,0.163422391,0,115000,10958.9
t1723,655.6335,0,0,0,0,0.165410176,0,115000,10958.9
t1724,763.8292,0,0,0,0,0.166548714,0,115000,10958.9
t1725,750.6301,0,0,0,0,0.167687237,0,115000,10958.9
t1726,691.4696,0,0,0,0,0.168825775,0,115000,10958.9
t1727,633.9509,0,0,0,0,0.168931514,0,115000,10958.9
t1728,591.6734,0,0,0,0,0.169037268,0,115000,10958.9
t1729,572.6379,0,0,0,0,0.169143021,0,115000,10958.9
t1730,558.7982,0,0,0,0,0.17307654,0,115000,10958.9
t1731,554.2826,0,0,0,0,0.177010074,0,115000,10958.9
t1732,547.5769,0,0,0,0,0.180943593,0,115000,10958.9
t1733,551.7278,0,0,0,0,0.178911284,61.0960083,115000,10958.9
t1734,565.5473,0,0,0,0,0.176878974,133.157196,115000,10958.9
t1735,587.0851,20837.33,0,20837.33,0,0.174846664,174.2791138,115000,10958.9
t1736,572.4991,92331.81,0,92331.81,0,0.167858005,176.6465759,115000,10958.9
t1737,635.8417,194482.4,0,194482.4,0,0.16086936,179.3504791,115000,10958.9
t1738,648.2512,752789.2,0,752789.2,0,0.153880715,247.8139038,115000,10958.9
t1739,636.9025,718068.9,0,718068.9,0,0.148802385,533.1688843,115000,10958.9
t1740,685.7554,1139990,0,1139990,0,0.143724069,495.2410889,115000,10958.9
t1741,662.0207,1102344,0,1102344,0,0.138645738,469.0888367,115000,10958.9
t1742,708.203,1214750,0,1214750,0,0.134709492,454.0396729,115000,10958.9
t1743,715.4897,933228.9,0,933228.9,0,0.130873397,486.9273682,115000,10958.9
t1744,718.6671,663704.1,60.3125,663704.1,60.3125,0.12726593,708.3151245,115000,10958.9
t1745,705.2939,353602.3,0,353602.3,0,0.124976918,715.2314453,115000,10958.9
t1746,671.8541,85854.11,0,85854.11,0,0.122687906,469.2006836,115000,10958.9
t1747,703.1241,0,0,0,0,0.120398901,203.5507202,115000,10958.9
t1748,812.5872,0,0,0,0,0.118916295,108.065155,115000,10958.9
t1749,810.8867,0,0,0,0,0.11743369,45.45781326,115000,10958.9
t1750,736.2844,0,0,0,0,0.115951084,0,115000,10958.9
t1751,673.751,0,0,0,0,0.115161225,0,115000,10958.9
t1752,629.7588,0,0,0,0,0.114371359,0,115000,10958.9
t1753,597.3757,0,0,0,0,0.113581493,0,115000,10958.9
t1754,576.5506,0,0,0,0,0.116041496,0,115000,10958.9
t1755,565.6378,0,0,0,0,0.118618682,0,115000,10958.9
t1756,557.2999,0,0,0,0,0.121028274,0,115000,10958.9
t1757,553.414,0,0,0,0,0.123763993,0,115000,10958.9
t1758,563.0711,0,0,0,0,0.126499712,47.07488251,115000,10958.9
t1759,607.1696,71601.74,0,71601.74,0,0.129235432,108.0942307,115000,10958.9
t1760,642.3648,414921.6,0,414921.6,0,0.131182685,117.7730331,115000,10958.9
t1761,667.7233,469327,0,469327,0,0.133129939,166.205307,115000,10958.9
t1762,709.0661,426253,0,426253,0,0.135077178,348.7722473,115000,10958.9
t1763,692.6214,635171.5,0,635171.5,0,0.136304319,91.56208038,115000,10958.9
t1764,729.4377,623070.2,0,623070.2,0,0.137531444,80.52832031,115000,10958.9
t1765,720.7746,556036.2,61.55037,556036.2,61.55037,0.138758585,187.3622589,115000,10958.9
t1766,759.9078,881184.2,85.68512,881184.2,85.68512,0.140229136,195.9737396,115000,10958.9
t1767,771.6851,746629.4,127.1235,746629.4,127.1235,0.141699687,189.8991394,115000,10958.9
t1768,713.3386,277941.9,121.8133,277941.9,121.8133,0.143170238,216.1600647,115000,10958.9
t1769,701.0299,162668.5,64.67802,162668.5,64.67802,0.144125462,176.2825317,115000,10958.9
t1770,671.2441,70899.35,53.80668,70899.35,53.80668,0.145080671,223.5109711,115000,10958.9
t1771,696.4826,0,36.43151,0,36.43151,0.14603588,276.5795593,115000,10958.9
t1772,813.8049,0,0,0,0,0.14755182,107.148201,115000,10958.9
t1773,794.5449,0,0,0,0,0.14906776,0,115000,10958.9
t1774,730.7576,0,0,0,0,0.150583699,0,115000,10958.9
t1775,673.6897,0,0,0,0,0.151283905,52.89921188,115000,10958.9
t1776,624.3683,0,0,0,0,0.15198411,50.42975998,115000,10958.9
t1777,588.6885,0,0,0,0,0.152684316,167.9444275,115000,10958.9
t1778,573.5186,0,0,0,0,0.154201165,167.8461304,115000,10958.9
t1779,561.6846,0,0,0,0,0.155717999,0,115000,10958.9
t1780,557.9159,0,0,0,0,0.157265723,0,115000,10958.9
t1781,563.7894,0,0,0,0,0.157030806,0,115000,10958.9
t1782,579.1396,0,39.35657,0,39.35657,0.156795889,0,115000,10958.9
t1783,615.3481,10535.87,0,10535.87,0,0.156564385,41.06498337,115000,10958.9
t1784,625.0716,17048.44,0,17048.44,0,0.154549271,56.77981949,115000,10958.9
t1785,667.542,84598.38,0,84598.38,0,0.152534142,170.8198853,115000,10958.9
t1786,739.5314,19394.43,54.65517,19394.43,54.65517,0.150519013,228.4336243,115000,10958.9
t1787,732.0812,72764.56,94.19522,72764.56,94.19522,0.147419527,134.4498749,115000,10958.9
t1788,681.7372,167953.3,60.53717,167953.3,60.53717,0.144320056,0,115000,10958.9
t1789,670.4524,195795.1,0,195795.1,0,0.14122057,0,115000,10958.9
t1790,756.5281,204695.4,0,204695.4,0,0.139244527,0,115000,10958.9
t1791,754.5546,8995.825,0,8995.825,0,0.137268469,0,115000,10958.9
t1792,719.278,55566.2,0,55566.2,0,0.135292426,0,115000,10958.9
t1793,671.7931,55119.08,0,55119.08,0,0.134309083,0,115000,10958.9
t1794,666.1547,12952.28,0,12952.28,0,0.133325726,0,115000,10958.9
t1795,678.2519,0,0,0,0,0.132342383,0,115000,10958.9
t1796,794.3092,0,0,0,0,0.131247506,0,115000,10958.9
t1797,789.5381,0,0,0,0,0.130152643,0,115000,10958.9
t1798,735.7922,0,0,0,0,0.12905778,0,115000,10958.9
t1799,685.8184,0,0,0,0,0.127282068,0,115000,10958.9
t1800,641.006,0,0,0,0,0.125506356,0,115000,10958.9
t1801,603.4319,0,0,0,0,0.123730645,0,115000,10958.9
t1802,589.8596,0,0,0,0,0.112680919,0,115000,10958.9
t1803,575.0542,0,0,0,0,0.101659633,0,115000,10958.9
t1804,568.5005,0,0,0,0,0.093297735,0,115000,10958.9
t1805,562.3546,0,0,0,0,0.092044823,0,115000,10958.9
t1806,568.5462,0,0,0,0,0.090590738,0,115000,10958.9
t1807,572.7768,143505.7,0,143505.7,0,0.089099057,0,115000,10958.9
t1808,580.4184,451768.3,0,451768.3,0,0.087078139,0,115000,10958.9
t1809,619.4831,553281,38.31755,553281,38.31755,0.085057221,0,115000,10958.9
t1810,649.2314,751622.8,89.64669,751622.8,89.64669,0.083036304,61.58644485,115000,10958.9
t1811,658.5188,772751.1,57.55679,772751.1,57.55679,0.081303068,103.3286591,115000,10958.9
t1812,642.5917,1017703,84.7943,1017703,84.7943,0.079569824,69.26208496,115000,10958.9
t1813,612.1476,1043612,46.29531,1043612,46.29531,0.077836588,0,115000,10958.9
t1814,559.5504,291667.8,102.2619,291667.8,102.2619,0.077407882,0,115000,10958.9
t1815,562.7127,480445.2,80.45226,480445.2,80.45226,0.076979175,0,115000,10958.9
t1816,583.9982,657173.1,68.26205,657173.1,68.26205,0.076550476,0,115000,10958.9
t1817,606.0389,162087.5,0,162087.5,0,0.076007485,0,115000,10958.9
t1818,613.0366,48505.5,0,48505.5,0,0.075464495,0,115000,10958.9
t1819,620.2838,0,0,0,0,0.074921511,0,115000,10958.9
t1820,740.2401,0,63.25598,0,63.25598,0.074846171,0,115000,10958.9
t1821,730.3404,0,68.22247,0,68.22247,0.074770831,0,115000,10958.9
t1822,699.8562,0,81.74072,0,81.74072,0.07469549,0,115000,10958.9
t1823,666.3956,0,0,0,0,0.073959187,0,115000,10958.9
t1824,622.4816,0,37.44542,0,37.44542,0.073222876,0,115000,10958.9
t1825,588.6885,0,0,0,0,0.072486572,0,115000,10958.9
t1826,570.7921,0,0,0,0,0.072175235,0,115000,10958.9
t1827,557.168,0,0,0,0,0.071863897,0,115000,10958.9
t1828,551.2539,0,0,0,0,0.07155256,0,115000,10958.9
t1829,551.4692,0,0,0,0,0.071438551,87.00601959,115000,10958.9
t1830,553.4574,0,0,0,0,0.07132455,143.0943756,115000,10958.9
t1831,544.7875,78505.67,0,78505.67,0,0.071210548,373.324646,115000,10958.9
t1832,543.4032,244007.1,0,244007.1,0,0.071929477,495.1040955,115000,10958.9
t1833,554.1522,503677.3,0,503677.3,0,0.072633311,454.0479431,115000,10958.9
t1834,503.1756,661055.2,0,661055.2,0,0.073337145,345.0937805,115000,10958.9
t1835,487.6628,497463.8,0,497463.8,0,0.073722407,454.0844116,115000,10958.9
t1836,506.3004,605533.6,0,605533.6,0,0.074489921,252.5082092,115000,10958.9
t1837,502.7122,314167.6,0,314167.6,0,0.075830199,186.3444824,115000,10958.9
t1838,496.2177,338272.6,0,338272.6,0,0.07706818,132.1102142,115000,10958.9
t1839,517.0608,306294.1,0,306294.1,0,0.078306153,183.7085876,115000,10958.9
t1840,538.3871,386627.3,0,386627.3,0,0.079544134,207.8532867,115000,10958.9
t1841,542.9016,357164.8,0,357164.8,0,0.080218002,151.1494751,115000,10958.9
