,demand_PNG,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,Hydro_B,Geothermal_B
t0001,605.3212,0,0,0,0,0.197145596,3180.443848,115000,10958.9
t0002,590.1531,0,0,0,0,0.216044798,2621.440918,115000,10958.9
t0003,582.1316,0,0,0,0,0.234977663,2413.220459,115000,10958.9
t0004,572.9157,0,0,0,0,0.253936321,2647.641357,115000,10958.9
t0005,566.9521,0,0,0,0,0.269672841,2238.204834,115000,10958.9
t0006,567.4522,0,0,0,0,0.286542654,1536.578491,115000,10958.9
t0007,536.8716,135985.2,0,135985.2,0,0.303412467,630.8668823,115000,10958.9
t0008,558.7099,415801.8,91.92804,415801.8,91.92804,0.308570653,255.170639,115000,10958.9
t0009,596.2273,783977.9,62.04709,783977.9,62.04709,0.313728869,293.4530334,115000,10958.9
t0010,635.1733,574249.5,133.7211,574249.5,133.7211,0.318096101,420.8399658,115000,10958.9
t0011,625.1258,572419.8,263.5052,572419.8,263.5052,0.327009201,121.5074234,115000,10958.9
t0012,606.7066,1117406,410.3649,1117406,410.3649,0.335922301,154.7749634,115000,10958.9
t0013,577.6777,756875.6,161.4746,756875.6,161.4746,0.344835401,131.3165436,115000,10958.9
t0014,578.1956,732064.9,99.00501,732064.9,99.00501,0.346999526,107.369751,115000,10958.9
t0015,597.5258,451814.5,62.0246,451814.5,62.0246,0.349163622,86.91073608,115000,10958.9
t0016,614.874,350761.9,103.2846,350761.9,103.2846,0.351327747,116.1207047,115000,10958.9
t0017,629.4298,257026.6,102.6139,257026.6,102.6139,0.350915521,106.0641251,115000,10958.9
t0018,618.6309,89045.06,96.83675,89045.06,96.83675,0.350503266,73.56224823,115000,10958.9
t0019,621.6759,0,0,0,0,0.35009104,116.9033127,115000,10958.9
t0020,696.6766,0,0,0,0,0.353586406,155.7084808,115000,10958.9
t0021,759.7604,0,52.70431,0,52.70431,0.357081801,213.4018402,115000,10958.9
t0022,721.8661,0,81.36983,0,81.36983,0.360577166,219.7414551,115000,10958.9
t0023,674.1191,0,0,0,0,0.357940704,235.7979126,115000,10958.9
t0024,629.3202,0,71.73534,0,71.73534,0.355304241,280.6251831,115000,10958.9
t0025,586.9398,0,48.20693,0,48.20693,0.352667809,182.0511017,115000,10958.9
t0026,571.1604,0,0,0,0,0.339684218,70.90323639,115000,10958.9
t0027,556.3344,0,85.40975,0,85.40975,0.326700598,0,115000,10958.9
t0028,540.5728,0,55.46933,0,55.46933,0.313789994,0,115000,10958.9
t0029,535.1617,0,38.73123,0,38.73123,0.29801473,75.27813721,115000,10958.9
t0030,535.2835,0,116.7798,0,116.7798,0.282239437,0,115000,10958.9
t0031,513.9426,217701.3,69.71137,217701.3,69.71137,0.266464174,0,115000,10958.9
t0032,538.5514,557730.4,177.2058,557730.4,177.2058,0.25145641,0,115000,10958.9
t0033,602.7705,926582.8,55.10294,926582.8,55.10294,0.237585992,0,115000,10958.9
t0034,626.0478,1140683,35.4277,1140683,35.4277,0.224369392,0,115000,10958.9
t0035,637.7981,1063863,49.92348,1063863,49.92348,0.21456933,0,115000,10958.9
t0036,602.6689,887234.4,40.59185,887234.4,40.59185,0.204980955,0,115000,10958.9
t0037,586.3589,744163.4,0,744163.4,0,0.195747301,0,115000,10958.9
t0038,606.3469,1116517,0,1116517,0,0.188746065,0,115000,10958.9
t0039,625.8306,859373.8,0,859373.8,0,0.181744829,0,115000,10958.9
t0040,678.4379,785847.9,73.37851,785847.9,73.37851,0.174743608,0,115000,10958.9
t0041,672.0374,345483.9,75.60635,345483.9,75.60635,0.171688303,0,115000,10958.9
t0042,661.6036,94660.14,172.7184,94660.14,172.7184,0.16853191,0,115000,10958.9
t0043,662.1996,0,165.4156,0,165.4156,0.165362939,0,115000,10958.9
t0044,688.7937,0,312.1752,0,312.1752,0.16774556,0,115000,10958.9
t0045,713.6741,0,265.0244,0,265.0244,0.170128182,0,115000,10958.9
t0046,702.4686,0,226.9079,0,226.9079,0.172510803,74.21253967,115000,10958.9
t0047,684.6844,0,156.4883,0,156.4883,0.172976136,113.2739563,115000,10958.9
t0048,666.5161,0,114.4429,0,114.4429,0.173441485,288.8245239,115000,10958.9
t0049,576.3903,0,0,0,0,0.173906818,302.5595093,115000,10958.9
t0050,611.313,0,0,0,0,0.170893416,354.1413269,115000,10958.9
t0051,583.0396,0,0,0,0,0.167880014,448.8370667,115000,10958.9
t0052,563.5198,0,0,0,0,0.164866611,473.0055847,115000,10958.9
t0053,552.8941,0,0,0,0,0.158455387,417.8979797,115000,10958.9
t0054,542.526,0,67.27454,0,67.27454,0.152044147,227.4650269,115000,10958.9
t0055,510.3483,128452,74.31989,128452,74.31989,0.145632923,598.0250244,115000,10958.9
t0056,484.3915,423189.2,34.29811,423189.2,34.29811,0.143958181,497.313324,115000,10958.9
t0057,479.9457,629139.1,0,629139.1,0,0.14228344,401.7215271,115000,10958.9
t0058,475.0898,595704.6,0,595704.6,0,0.140608698,345.259552,115000,10958.9
t0059,473.5586,1276431,0,1276431,0,0.145375937,284.6850586,115000,10958.9
t0060,457.7672,950384.2,0,950384.2,0,0.150143176,279.2026062,115000,10958.9
t0061,438.6952,634729.4,0,634729.4,0,0.154910415,170.9272461,115000,10958.9
t0062,448.0057,862982.2,0,862982.2,0,0.154181227,83.90848541,115000,10958.9
t0063,453.8453,832069.1,0,832069.1,0,0.142400458,47.28923798,115000,10958.9
t0064,456.7361,687967.8,32.88218,687967.8,32.88218,0.135139123,0,115000,10958.9
t0065,476.6642,339194.7,79.10495,339194.7,79.10495,0.119926408,0,115000,10958.9
t0066,524.3501,71504.01,199.1641,71504.01,199.1641,0.110404044,0,115000,10958.9
t0067,549.9658,0,87.06158,0,87.06158,0.096293174,50.1771965,115000,10958.9
t0068,596.6762,0,55.4064,0,55.4064,0.096189491,0,115000,10958.9
t0069,676.7051,0,81.39799,0,81.39799,0.096085809,0,115000,10958.9
t0070,660.5925,0,0,0,0,0.095982127,0,115000,10958.9
t0071,640.3284,0,0,0,0,0.118877634,0,115000,10958.9
t0072,599.6843,0,0,0,0,0.141654894,0,115000,10958.9
t0073,568.9574,0,0,0,0,0.173288047,68.97805786,115000,10958.9
t0074,549.0249,0,0,0,0,0.190187782,69.16352844,115000,10958.9
t0075,536.0968,0,0,0,0,0.207087502,219.8523407,115000,10958.9
t0076,530.5357,0,0,0,0,0.223277003,164.9060974,115000,10958.9
t0077,527.1684,0,0,0,0,0.215371385,74.19749451,115000,10958.9
t0078,517.1742,0,41.50756,0,41.50756,0.207465753,0,115000,10958.9
t0079,491.8989,178551.1,0,178551.1,0,0.199560121,0,115000,10958.9
t0080,490.0397,564825.2,0,564825.2,0,0.182675153,0,115000,10958.9
t0081,499.5297,888786,94.58671,888786,94.58671,0.165790185,0,115000,10958.9
t0082,548.5129,1124811,276.5739,1124811,276.5739,0.148905218,54.19100571,115000,10958.9
t0083,522.2954,1223703,515.6049,1223703,515.6049,0.132358208,0,115000,10958.9
t0084,513.6814,1312751,170.8935,1312751,170.8935,0.116493747,0,115000,10958.9
t0085,502.7835,1359862,90.93281,1359862,90.93281,0.104170367,0,115000,10958.9
t0086,512.8624,1104390,136.7466,1104390,136.7466,0.09490639,64.72555542,115000,10958.9
t0087,505.0383,922077.2,201.8898,922077.2,201.8898,0.085642405,68.14235687,115000,10958.9
t0088,500.2331,702305.9,140.6436,702305.9,140.6436,0.076378427,124.8277893,115000,10958.9
t0089,515.2902,432064.2,0,432064.2,0,0.069474332,355.7000122,115000,10958.9
t0090,545.2926,97920.65,0,97920.65,0,0.062570244,384.7694092,115000,10958.9
t0091,562.7127,0,0,0,0,0.055517491,488.5793457,115000,10958.9
t0092,628.0077,0,0,0,0,0.05161548,567.5472412,115000,10958.9
t0093,701.4219,0,0,0,0,0.04874856,679.9122925,115000,10958.9
t0094,688.3492,0,0,0,0,0.04628903,989.6268311,115000,10958.9
t0095,651.3152,0,0,0,0,0.052010044,999.4630737,115000,10958.9
t0096,604.0945,0,0,0,0,0.054533523,883.8633423,115000,10958.9
t0097,564.3742,0,0,0,0,0.057781987,963.4009399,115000,10958.9
t0098,540.2831,0,0,0,0,0.061394114,1208.66626,115000,10958.9
t0099,533.8259,0,0,0,0,0.060328402,1229.248291,115000,10958.9
t0100,527.6806,0,0,0,0,0.062211227,953.7735596,115000,10958.9
t0101,524.1556,0,0,0,0,0.060609978,790.5007935,115000,10958.9
t0102,527.72,0,0,0,0,0.059008729,851.6921387,115000,10958.9
t0103,497.8502,33753.17,0,33753.17,0,0.05740748,865.3590698,115000,10958.9
t0104,498.2689,178041.5,35.30902,178041.5,35.30902,0.056219466,903.2316284,115000,10958.9
t0105,518.1597,414213.1,51.81194,414213.1,51.81194,0.055031449,1277.106812,115000,10958.9
t0106,550.9958,414929.6,65.8205,414929.6,65.8205,0.053843435,2102.92749,115000,10958.9
t0107,540.5314,669008.2,85.17971,669008.2,85.17971,0.052424286,2094.445068,115000,10958.9
t0108,545.3347,923792.7,101.3994,923792.7,101.3994,0.051005132,1701.321655,115000,10958.9
t0109,617.1446,938504.9,86.52885,938504.9,86.52885,0.049585983,1100.624512,115000,10958.9
t0110,614.5058,804825.7,92.69234,804825.7,92.69234,0.049016453,993.8859863,115000,10958.9
t0111,624.2062,545882.6,112.5733,545882.6,112.5733,0.048446923,742.9060669,115000,10958.9
t0112,628.4994,366470.9,280.9488,366470.9,280.9488,0.047877397,726.592041,115000,10958.9
t0113,600.3396,179412.2,345.7855,179412.2,345.7855,0.050089493,1149.522095,115000,10958.9
t0114,584.7671,87950,222.666,87950,222.666,0.052301593,2076.177734,115000,10958.9
t0115,581.5595,0,82.55705,0,82.55705,0.054513693,2761.383057,115000,10958.9
t0116,644.5831,0,46.15086,0,46.15086,0.05884156,2774.672363,115000,10958.9
t0117,703.5178,0,80.64945,0,80.64945,0.063274026,2830.76123,115000,10958.9
t0118,677.0758,0,38.82567,0,38.82567,0.069370925,2854.395264,115000,10958.9
t0119,632.2352,0,0,0,0,0.060277216,3373.68042,115000,10958.9
t0120,595.3811,0,0,0,0,0.054017965,3242.449707,115000,10958.9
t0121,566.6344,0,0,0,0,0.043432824,2795.634033,115000,10958.9
t0122,550.8669,0,0,0,0,0.042278912,2323.658203,115000,10958.9
t0123,536.8716,0,0,0,0,0.041125,1939.26001,115000,10958.9
t0124,529.0645,0,0,0,0,0.039971087,1641.804321,115000,10958.9
t0125,525.9903,0,0,0,0,0.046410359,1615.363403,115000,10958.9
t0126,518.3877,0,0,0,0,0.046120975,2274.348877,115000,10958.9
t0127,494.5626,174311.4,0,174311.4,0,0.051162094,2209.25293,115000,10958.9
t0128,493.0902,448690.1,0,448690.1,0,0.050600559,3589.40918,115000,10958.9
t0129,505.903,678496.9,34.35304,678496.9,34.35304,0.047909074,4033.162354,115000,10958.9
t0130,505.5783,772930.7,0,772930.7,0,0.045217589,3590.40625,115000,10958.9
t0131,488.7978,754550.1,0,754550.1,0,0.042533625,2940.216309,115000,10958.9
t0132,486.0044,803018.5,0,803018.5,0,0.039849658,3547.295654,115000,10958.9
t0133,482.4004,971229.1,0,971229.1,0,0.037165694,3428.034668,115000,10958.9
t0134,509.2841,1016890,0,1016890,0,0.038163692,2794.095459,115000,10958.9
t0135,581.8454,829032.9,0,829032.9,0,0.039161686,2519.015869,115000,10958.9
t0136,556.2468,436489.1,0,436489.1,0,0.040159684,2534.0896,115000,10958.9
t0137,577.7718,328122.2,0,328122.2,0,0.028500009,3075.317627,115000,10958.9
t0138,585.5379,51424.7,0,51424.7,0,0.01800566,3715.54248,115000,10958.9
t0139,590.2509,0,0,0,0,0.005981043,3939.295654,115000,10958.9
t0140,658.9919,0,0,0,0,0.008130559,3581.84082,115000,10958.9
t0141,540.6557,0,0,0,0,0.010280075,3210.583984,115000,10958.9
t0142,626.9719,0,0,0,0,0.012305328,2869.215332,115000,10958.9
t0143,665.6131,0,0,0,0,0.01285316,3740.458252,115000,10958.9
t0144,606.9638,0,0,0,0,0.013400991,3233.21875,115000,10958.9
t0145,561.2832,0,0,0,0,0.014333055,2895.672119,115000,10958.9
t0146,535.2429,0,0,0,0,0.016093031,3132.278809,115000,10958.9
t0147,520.4489,0,0,0,0,0.017853005,3674.271973,115000,10958.9
t0148,512.2685,0,0,0,0,0.019612981,3251.102295,115000,10958.9
t0149,513.5695,0,0,0,0,0.018293763,2597.92041,115000,10958.9
t0150,511.787,0,0,0,0,0.016974544,2332.321777,115000,10958.9
t0151,493.0219,222069,0,222069,0,0.015655328,2455.302002,115000,10958.9
t0152,494.1507,555911.7,0,555911.7,0,0.014237185,1663.223267,115000,10958.9
t0153,490.3766,727269.8,0,727269.8,0,0.012819043,1225.483765,115000,10958.9
t0154,475.5294,983736.8,0,983736.8,0,0.011400901,1266.636108,115000,10958.9
t0155,451.9707,1278420,0,1278420,0,0.010854089,695.3439331,115000,10958.9
t0156,455.9381,1336380,0,1336380,0,0.010307277,318.6375122,115000,10958.9
t0157,442.0335,1236943,0,1236943,0,0.009914182,154.6386261,115000,10958.9
t0158,444.8472,1038116,0,1038116,0,0.00999278,78.08899689,115000,10958.9
t0159,477.6146,889283.1,0,889283.1,0,0.010071378,76.31739807,115000,10958.9
t0160,517.7802,610127.1,0,610127.1,0,0.010149975,121.7818069,115000,10958.9
t0161,528.9852,347924.7,0,347924.7,0,0.010456073,163.3286133,115000,10958.9
t0162,533.5434,98075.45,0,98075.45,0,0.010762172,220.6690674,115000,10958.9
t0163,547.8744,0,74.88255,0,74.88255,0.01106827,274.2361755,115000,10958.9
t0164,594.2892,0,175.4445,0,175.4445,0.011784936,353.8441772,115000,10958.9
t0165,663.2744,0,177.9364,0,177.9364,0.012501602,527.6391602,115000,10958.9
t0166,653.3518,0,89.84703,0,89.84703,0.013218269,696.9467773,115000,10958.9
t0167,614.9793,0,97.45177,0,97.45177,0.018692521,462.4493713,115000,10958.9
t0168,576.6444,0,117.3883,0,117.3883,0.024560042,291.4930115,115000,10958.9
t0169,558.2244,0,44.99572,0,44.99572,0.030422926,206.3856201,115000,10958.9
t0170,541.5684,0,62.38883,0,62.38883,0.03406214,209.609787,115000,10958.9
t0171,533.5838,0,0,0,0,0.042310394,215.5879669,115000,10958.9
t0172,532.537,0,0,0,0,0.051287096,226.7343903,115000,10958.9
t0173,541.8596,0,0,0,0,0.054511435,107.3886871,115000,10958.9
t0174,535.5678,0,0,0,0,0.055548716,0,115000,10958.9
t0175,513.6814,91710.73,0,91710.73,0,0.056585997,0,115000,10958.9
t0176,530.0178,314172.9,0,314172.9,0,0.049911454,0,115000,10958.9
t0177,584.0462,618192.7,0,618192.7,0,0.043236915,0,115000,10958.9
t0178,648.7122,666603.7,38.09599,666603.7,38.09599,0.036562372,0,115000,10958.9
t0179,609.3388,867398,115.4211,867398,115.4211,0.033620734,0,115000,10958.9
t0180,625.4509,912964.4,61.64753,912964.4,61.64753,0.031068861,0,115000,10958.9
t0181,634.8951,969821.9,0,969821.9,0,0.028516991,46.05053711,115000,10958.9
t0182,700.1819,1085903,43.55829,1085903,43.55829,0.0280619,0,115000,10958.9
t0183,621.4614,844512.6,0,844512.6,0,0.028447678,0,115000,10958.9
t0184,640.5541,577574.6,38.8859,577574.6,38.8859,0.027667545,0,115000,10958.9
t0185,650.6774,378249.4,0,378249.4,0,0.027696351,0,115000,10958.9
t0186,579.7072,67569.92,0,67569.92,0,0.027718313,0,115000,10958.9
t0187,599.7851,0,0,0,0,0.027740274,0,115000,10958.9
t0188,651.1412,0,0,0,0,0.029927637,0,115000,10958.9
t0189,748.1746,0,0,0,0,0.032115001,0,115000,10958.9
t0190,729.7152,0,0,0,0,0.03685946,0,115000,10958.9
t0191,672.5262,0,0,0,0,0.048132371,0,115000,10958.9
t0192,607.9944,0,0,0,0,0.056770727,0,115000,10958.9
t0193,574.3087,0,0,0,0,0.065409079,0,115000,10958.9
t0194,557.6077,0,40.06535,0,40.06535,0.094362803,0,115000,10958.9
t0195,545.9252,0,35.35925,0,35.35925,0.129194602,60.8572197,115000,10958.9
t0196,543.0269,0,0,0,0,0.172646821,0,115000,10958.9
t0197,549.0676,0,32.91246,0,32.91246,0.163974822,0,115000,10958.9
t0198,544.0735,0,0,0,0,0.155302823,0,115000,10958.9
t0199,518.1597,135826.7,0,135826.7,0,0.146630824,0,115000,10958.9
t0200,527.6411,141018,78.37971,141018,78.37971,0.126128078,0,115000,10958.9
t0201,580.8934,279835.6,67.64773,279835.6,67.64773,0.11108461,0,115000,10958.9
t0202,629.9233,569201.4,71.8774,569201.4,71.8774,0.096292563,0,115000,10958.9
t0203,601.5022,904145.2,120.4381,904145.2,120.4381,0.083171144,176.4912567,115000,10958.9
t0204,589.2248,871837.8,167.3776,871837.8,167.3776,0.067921706,292.3916931,115000,10958.9
t0205,634.7283,1046456,193.9995,1046456,193.9995,0.053202134,134.378952,115000,10958.9
t0206,694.6122,519340.3,128.8971,519340.3,128.8971,0.047191262,378.7695618,115000,10958.9
t0207,676.1496,266699.7,148.8613,266699.7,148.8613,0.04154269,282.5202026,115000,10958.9
t0208,669.7836,328771.5,64.23467,328771.5,64.23467,0.036433771,139.0623932,115000,10958.9
t0209,608.4074,170072.8,76.49316,170072.8,76.49316,0.05017852,130.3331604,115000,10958.9
t0210,603.9414,48951.69,92.60805,48951.69,92.60805,0.061748326,319.1994629,115000,10958.9
t0211,602.7197,0,126.1037,0,126.1037,0.069072239,300.5595398,115000,10958.9
t0212,658.4006,0,105.5726,0,105.5726,0.073930368,109.868515,115000,10958.9
t0213,751.4996,0,91.08626,0,91.08626,0.083116248,0,115000,10958.9
t0214,726.8085,0,0,0,0,0.086899057,0,115000,10958.9
t0215,670.2699,0,38.74997,0,38.74997,0.091784604,0,115000,10958.9
t0216,614.0854,0,34.84018,0,34.84018,0.096670158,0,115000,10958.9
t0217,578.1956,0,0,0,0,0.101555705,0,115000,10958.9
t0218,555.1976,0,0,0,0,0.103140987,53.92447662,115000,10958.9
t0219,550.6091,0,0,0,0,0.099364355,141.2786865,115000,10958.9
t0220,546.3901,0,0,0,0,0.09625455,130.1653442,115000,10958.9
t0221,557.5637,0,0,0,0,0.104486302,59.74187088,115000,10958.9
t0222,551.9002,0,0,0,0,0.112673499,0,115000,10958.9
t0223,524.7008,176358.7,61.46087,176358.7,61.46087,0.117100373,0,115000,10958.9
t0224,528.1147,488048.7,0,488048.7,0,0.114903845,0,115000,10958.9
t0225,595.3811,715846.1,0,715846.1,0,0.112707309,0,115000,10958.9
t0226,620.0701,1045456,0,1045456,0,0.110510774,0,115000,10958.9
t0227,616.298,1247821,0,1247821,0,0.109561153,0,115000,10958.9
t0228,630.4725,1482025,0,1482025,0,0.108611524,0,115000,10958.9
t0229,609.3906,1450976,0,1450976,0,0.107661903,0,115000,10958.9
t0230,589.1272,1297866,54.06956,1297866,54.06956,0.109843388,0,115000,10958.9
t0231,601.8569,1094188,142.6844,1094188,142.6844,0.112024881,0,115000,10958.9
t0232,636.288,671487,179.8594,671487,179.8594,0.114206374,0,115000,10958.9
t0233,635.6188,398101.2,302.9756,398101.2,302.9756,0.118272603,0,115000,10958.9
t0234,622.8581,84587.41,140.5823,84587.41,140.5823,0.122493893,0,115000,10958.9
t0235,612.1476,0,55.77692,0,55.77692,0.127904296,0,115000,10958.9
t0236,665.0722,0,122.5447,0,122.5447,0.136594683,0,115000,10958.9
t0237,762.4941,0,99.89686,0,99.89686,0.145285085,0,115000,10958.9
t0238,726.6706,0,73.62904,0,73.62904,0.153975472,0,115000,10958.9
t0239,678.0659,0,0,0,0,0.166912511,0,115000,10958.9
t0240,626.5911,0,0,0,0,0.179864064,0,115000,10958.9
t0241,592.1654,0,0,0,0,0.192815617,0,115000,10958.9
t0242,576.3631,0,0,0,0,0.206480265,119.8553238,115000,10958.9
t0243,563.7444,0,0,0,0,0.220144913,119.4188232,115000,10958.9
t0244,559.4618,0,0,0,0,0.233809575,88.01506042,115000,10958.9
t0245,569.0032,0,0,0,0,0.245438516,0,115000,10958.9
t0246,563.7444,0,0,0,0,0.257067442,0,115000,10958.9
t0247,539.9938,153408.9,0,153408.9,0,0.269203275,0,115000,10958.9
t0248,547.3646,393928.9,0,393928.9,0,0.282953143,0,115000,10958.9
t0249,626.5368,592251.9,0,592251.9,0,0.296703041,0,115000,10958.9
t0250,638.9206,698170.4,0,698170.4,0,0.310452908,0,115000,10958.9
t0251,605.1676,1284578,37.25395,1284578,37.25395,0.317886889,0,115000,10958.9
t0252,586.9398,1208083,40.71405,1208083,40.71405,0.32532087,0,115000,10958.9
t0253,621.9442,1109526,0,1109526,0,0.33275485,0,115000,10958.9
t0254,632.2352,639796.2,0,639796.2,0,0.337209702,0,115000,10958.9
t0255,620.5511,634894.3,0,634894.3,0,0.341631979,0,115000,10958.9
t0256,659.347,473933.2,56.46446,473933.2,56.46446,0.346024275,0,115000,10958.9
t0257,617.8339,221768.5,60.51971,221768.5,60.51971,0.348946661,0,115000,10958.9
t0258,615.0319,74328.38,84.55335,74328.38,84.55335,0.351869047,118.1428299,115000,10958.9
t0259,615.2954,0,214.6543,0,214.6543,0.354791433,108.1922379,115000,10958.9
t0260,688.0321,0,0,0,0,0.356766135,54.15139008,115000,10958.9
t0261,739.8148,0,0,0,0,0.358740866,56.09364319,115000,10958.9
t0262,716.0965,0,0,0,0,0.360715568,42.16142654,115000,10958.9
t0263,676.8904,0,0,0,0,0.362190813,51.36571884,115000,10958.9
t0264,626.6999,0,0,0,0,0.363666058,0,115000,10958.9
t0265,591.9685,0,0,0,0,0.365141332,0,115000,10958.9
t0266,570.3783,0,0,0,0,0.366093129,0,115000,10958.9
t0267,561.9078,0,0,0,0,0.367044896,53.88227844,115000,10958.9
t0268,540.3245,0,0,0,0,0.367996693,128.0082245,115000,10958.9
t0269,555.2412,0,0,0,0,0.368480593,89.11287689,115000,10958.9
t0270,561.5507,0,0,0,0,0.368964463,0,115000,10958.9
t0271,535.7711,189352.2,0,189352.2,0,0.369448364,0,115000,10958.9
t0272,539.2098,523745.2,0,523745.2,0,0.369403541,57.77132416,115000,10958.9
t0273,591.6242,805125.2,52.55429,805125.2,52.55429,0.369358689,0,115000,10958.9
t0274,651.0252,958742.5,0,958742.5,0,0.369313866,0,115000,10958.9
t0275,628.4447,1098825,66.88951,1098825,66.88951,0.36729607,0,115000,10958.9
t0276,630.8574,946022.2,41.12024,946022.2,41.12024,0.365278304,0,115000,10958.9
t0277,629.5942,1159098,0,1159098,0,0.363260508,0,115000,10958.9
t0278,610.2206,939754.6,0,939754.6,0,0.36330539,0,115000,10958.9
t0279,641.6281,536042.3,0,536042.3,0,0.363350242,135.1274109,115000,10958.9
t0280,659.8803,505033.4,0,505033.4,0,0.363395125,236.3046417,115000,10958.9
t0281,637.0702,319045.8,0,319045.8,0,0.36178124,304.2260437,115000,10958.9
t0282,625.5594,100093.9,0,100093.9,0,0.360167354,330.0142212,115000,10958.9
t0283,613.1938,0,0,0,0,0.358553499,416.8248901,115000,10958.9
t0284,663.9926,0,0,0,0,0.358205676,354.8703613,115000,10958.9
t0285,747.6705,0,0,0,0,0.357857823,382.012085,115000,10958.9
t0286,699.1404,0,0,0,0,0.35751,306.2400208,115000,10958.9
t0287,701.3565,0,0,0,0,0.357157081,175.5799255,115000,10958.9
t0288,639.8773,0,0,0,0,0.356804132,275.9070435,115000,10958.9
t0289,593.6951,0,0,0,0,0.356451213,365.647583,115000,10958.9
t0290,577.9601,0,0,0,0,0.35665983,332.4396667,115000,10958.9
t0291,563.2954,0,0,0,0,0.356868446,323.9135132,115000,10958.9
t0292,553.2839,0,0,0,0,0.357077092,357.3244019,115000,10958.9
t0293,547.9594,0,36.64953,0,36.64953,0.356925935,278.5203857,115000,10958.9
t0294,545.1241,0,0,0,0,0.356774807,308.5716553,115000,10958.9
t0295,516.4566,122610.6,0,122610.6,0,0.35662365,343.7365723,115000,10958.9
t0296,520.9092,278649.7,0,278649.7,0,0.354988009,219.8930054,115000,10958.9
t0297,537.4849,552788.7,0,552788.7,0,0.353352368,147.3732758,115000,10958.9
t0298,546.6016,240301.1,46.89634,240301.1,46.89634,0.351716697,296.759613,115000,10958.9
t0299,504.7508,481861.6,72.45708,481861.6,72.45708,0.348640233,410.8756714,115000,10958.9
t0300,518.8062,574458.6,163.4675,574458.6,163.4675,0.345534474,330.9875488,115000,10958.9
t0301,488.8313,535208.4,338.3741,535208.4,338.3741,0.342383027,155.5657196,115000,10958.9
t0302,475.4666,413675.9,191.2298,413675.9,191.2298,0.341822773,141.5594482,115000,10958.9
t0303,523.3013,411381.2,252.6183,411381.2,252.6183,0.341262549,264.8453979,115000,10958.9
t0304,543.2778,398106.4,149.8595,398106.4,149.8595,0.340702295,511.2831421,115000,10958.9
t0305,536.8308,290494,167.3709,290494,167.3709,0.335452735,909.7684326,115000,10958.9
t0306,577.3015,74995.91,166.8605,74995.91,166.8605,0.330203205,1184.892578,115000,10958.9
t0307,615.8755,0,0,0,0,0.324953645,1156.929321,115000,10958.9
t0308,687.5251,0,0,0,0,0.319287091,970.8914185,115000,10958.9
t0309,755.5039,0,0,0,0,0.313620538,1240.358643,115000,10958.9
t0310,726.4636,0,0,0,0,0.307953984,1427.709229,115000,10958.9
t0311,672.7098,0,0,0,0,0.303403199,1182.505859,115000,10958.9
t0312,636.6789,0,0,0,0,0.298852414,1191.291748,115000,10958.9
t0313,591.9192,0,0,0,0,0.294301629,1091.224487,115000,10958.9
t0314,568.3179,0,0,0,0,0.290675342,1113.85022,115000,10958.9
t0315,552.5912,0,0,0,0,0.287049025,1337.750122,115000,10958.9
t0316,541.9428,0,0,0,0,0.283422738,1111.973511,115000,10958.9
t0317,544.0316,0,0,0,0,0.280389637,812.0958862,115000,10958.9
t0318,541.8179,0,0,0,0,0.277356565,602.7908325,115000,10958.9
t0319,515.741,16263.47,0,16263.47,0,0.274323493,240.2684021,115000,10958.9
t0320,523.767,75605.98,0,75605.98,0,0.271620929,89.66072083,115000,10958.9
t0321,510.6795,332239.9,0,332239.9,0,0.268918365,48.79011917,115000,10958.9
t0322,501.2216,534904.6,0,534904.6,0,0.266215771,0,115000,10958.9
t0323,473.2475,361551.9,0,361551.9,0,0.263285249,0,115000,10958.9
t0324,474.8391,556042.9,0,556042.9,0,0.260671943,0,115000,10958.9
t0325,472.7198,766967.4,0,766967.4,0,0.258058637,0,115000,10958.9
t0326,489.334,860428.6,0,860428.6,0,0.255461335,0,115000,10958.9
t0327,499.9163,676699.2,0,676699.2,0,0.252864033,0,115000,10958.9
t0328,488.7309,578303.6,0,578303.6,0,0.250266731,0,115000,10958.9
t0329,523.9223,286055.6,0,286055.6,0,0.247317761,0,115000,10958.9
t0330,551.0388,98716.96,0,98716.96,0,0.244368777,0,115000,10958.9
t0331,561.6399,0,0,0,0,0.241419792,0,115000,10958.9
t0332,629.4298,0,0,0,0,0.238435641,0,115000,10958.9
t0333,687.8419,0,0,0,0,0.23545149,0,115000,10958.9
t0334,654.4032,0,0,0,0,0.232467338,0,115000,10958.9
t0335,636.7348,0,0,0,0,0.229296789,0,115000,10958.9
t0336,603.8395,0,0,0,0,0.226126239,0,115000,10958.9
t0337,581.5595,0,35.949,0,35.949,0.222955704,0,115000,10958.9
t0338,570.5162,0,0,0,0,0.219747871,0,115000,10958.9
t0339,561.5507,0,42.42718,0,42.42718,0.216540053,0,115000,10958.9
t0340,555.3722,0,0,0,0,0.213332221,0,115000,10958.9
t0341,555.4595,0,0,0,0,0.210349664,0,115000,10958.9
t0342,546.5593,0,0,0,0,0.207367107,0,115000,10958.9
t0343,531.4144,149727.8,0,149727.8,0,0.20438455,0,115000,10958.9
t0344,543.5707,371204.7,0,371204.7,0,0.201775625,0,115000,10958.9
t0345,620.7116,628134.6,0,628134.6,0,0.1991667,0,115000,10958.9
