,demand_R1,PV_B_R1,WindOnshore_B_R1,PV_N_R1,WindOnshore_N_R1,Wave_N_R1,WindOffshore_N_R1,demand_R2,PV_B_R2,WindOnshore_B_R2,PV_N_R2,WindOnshore_N_R2,Wave_N_R2,WindOffshore_N_R2,demand_R3,PV_B_R3,WindOnshore_B_R3,PV_N_R3,WindOnshore_N_R3,Wave_N_R3,WindOffshore_N_R3,demand_R4,PV_B_R4,WindOnshore_B_R4,PV_N_R4,WindOnshore_N_R4,Wave_N_R4,WindOffshore_N_R4
t1266,11.98453,1136.175,1720.579,1136.175,1720.579,374.1650581,0,11.98453,1136.175,1720.579,1136.175,1720.579,374.1650581,0,11.98453,1136.175,1720.579,1136.175,1720.579,374.1650581,0,11.98453,1136.175,1720.579,1136.175,1720.579,374.1650581,0
t1267,12.30609,330.0633,286.1235,330.0633,286.1235,373.5553324,0,12.30609,330.0633,286.1235,330.0633,286.1235,373.5553324,0,12.30609,330.0633,286.1235,330.0633,286.1235,373.5553324,0,12.30609,330.0633,286.1235,330.0633,286.1235,373.5553324,0
t1268,14.27092,0,434.6451,0,434.6451,374.2356598,0,14.27092,0,434.6451,0,434.6451,374.2356598,0,14.27092,0,434.6451,0,434.6451,374.2356598,0,14.27092,0,434.6451,0,434.6451,374.2356598,0
t1269,15.16682,0,700.15,0,700.15,374.9159873,0,15.16682,0,700.15,0,700.15,374.9159873,0,15.16682,0,700.15,0,700.15,374.9159873,0,15.16682,0,700.15,0,700.15,374.9159873,0
t1270,14.15297,0,1420.016,0,1420.016,375.5963147,0,14.15297,0,1420.016,0,1420.016,375.5963147,0,14.15297,0,1420.016,0,1420.016,375.5963147,0,14.15297,0,1420.016,0,1420.016,375.5963147,0
t1271,12.49635,0,1317.167,0,1317.167,379.1107535,120.1882553,12.49635,0,1317.167,0,1317.167,379.1107535,120.1882553,12.49635,0,1317.167,0,1317.167,379.1107535,120.1882553,12.49635,0,1317.167,0,1317.167,379.1107535,120.1882553
t1272,11.25043,0,3174.799,0,3174.799,382.6251626,98.94597626,11.25043,0,3174.799,0,3174.799,382.6251626,98.94597626,11.25043,0,3174.799,0,3174.799,382.6251626,98.94597626,11.25043,0,3174.799,0,3174.799,382.6251626,98.94597626
t1273,10.41387,0,3282.549,0,3282.549,386.1396015,95.73666382,10.41387,0,3282.549,0,3282.549,386.1396015,95.73666382,10.41387,0,3282.549,0,3282.549,386.1396015,95.73666382,10.41387,0,3282.549,0,3282.549,386.1396015,95.73666382
t1274,10.02077,0,1195.984,0,1195.984,386.8527114,74.93199158,10.02077,0,1195.984,0,1195.984,386.8527114,74.93199158,10.02077,0,1195.984,0,1195.984,386.8527114,74.93199158,10.02077,0,1195.984,0,1195.984,386.8527114,74.93199158
t1275,9.693099,0,164.5755,0,164.5755,386.3381147,71.57632446,9.693099,0,164.5755,0,164.5755,386.3381147,71.57632446,9.693099,0,164.5755,0,164.5755,386.3381147,71.57632446,9.693099,0,164.5755,0,164.5755,386.3381147,71.57632446
t1276,9.610096,0,467.5682,0,467.5682,385.6708109,85.70166779,9.610096,0,467.5682,0,467.5682,385.6708109,85.70166779,9.610096,0,467.5682,0,467.5682,385.6708109,85.70166779,9.610096,0,467.5682,0,467.5682,385.6708109,85.70166779
t1277,9.652251,0,599.2123,0,599.2123,382.8082681,139.9273987,9.652251,0,599.2123,0,599.2123,382.8082681,139.9273987,9.652251,0,599.2123,0,599.2123,382.8082681,139.9273987,9.652251,0,599.2123,0,599.2123,382.8082681,139.9273987
t1278,9.829731,0,544.6688,0,544.6688,382.0684254,98.54444885,9.829731,0,544.6688,0,544.6688,382.0684254,98.54444885,9.829731,0,544.6688,0,544.6688,382.0684254,98.54444885,9.829731,0,544.6688,0,544.6688,382.0684254,98.54444885
t1279,10.2217,0,401.0792,0,401.0792,381.7447722,137.2227173,10.2217,0,401.0792,0,401.0792,381.7447722,137.2227173,10.2217,0,401.0792,0,401.0792,381.7447722,137.2227173,10.2217,0,401.0792,0,401.0792,381.7447722,137.2227173
t1280,10.13624,584.6238,628.2611,584.6238,628.2611,381.2915385,267.1473694,10.13624,584.6238,628.2611,584.6238,628.2611,381.2915385,267.1473694,10.13624,584.6238,628.2611,584.6238,628.2611,381.2915385,267.1473694,10.13624,584.6238,628.2611,584.6238,628.2611,381.2915385,267.1473694
t1281,11.05303,1590.462,650.1395,1590.462,650.1395,380.8383048,291.4634399,11.05303,1590.462,650.1395,1590.462,650.1395,380.8383048,291.4634399,11.05303,1590.462,650.1395,1590.462,650.1395,380.8383048,291.4634399,11.05303,1590.462,650.1395,1590.462,650.1395,380.8383048,291.4634399
t1282,11.27236,2581.807,738.5341,2581.807,738.5341,379.7991276,423.4549561,11.27236,2581.807,738.5341,2581.807,738.5341,379.7991276,423.4549561,11.27236,2581.807,738.5341,2581.807,738.5341,379.7991276,423.4549561,11.27236,2581.807,738.5341,2581.807,738.5341,379.7991276,423.4549561
t1283,11.55365,3557.137,514.0355,3557.137,514.0355,378.17505,659.2854614,11.55365,3557.137,514.0355,3557.137,514.0355,378.17505,659.2854614,11.55365,3557.137,514.0355,3557.137,514.0355,378.17505,659.2854614,11.55365,3557.137,514.0355,3557.137,514.0355,378.17505,659.2854614
t1284,10.90799,3958.766,301.9463,3958.766,301.9463,376.5509725,791.4919434,10.90799,3958.766,301.9463,3958.766,301.9463,376.5509725,791.4919434,10.90799,3958.766,301.9463,3958.766,301.9463,376.5509725,791.4919434,10.90799,3958.766,301.9463,3958.766,301.9463,376.5509725,791.4919434
t1285,10.5173,4481.28,0,4481.28,0,374.9268949,539.0635376,10.5173,4481.28,0,4481.28,0,374.9268949,539.0635376,10.5173,4481.28,0,4481.28,0,374.9268949,539.0635376,10.5173,4481.28,0,4481.28,0,374.9268949,539.0635376
t1286,11.69917,3826.62,150.0324,3826.62,150.0324,372.0307946,556.2109985,11.69917,3826.62,150.0324,3826.62,150.0324,372.0307946,556.2109985,11.69917,3826.62,150.0324,3826.62,150.0324,372.0307946,556.2109985,11.69917,3826.62,150.0324,3826.62,150.0324,372.0307946,556.2109985
t1287,11.10638,3234.469,0,3234.469,0,369.1346943,683.6509399,11.10638,3234.469,0,3234.469,0,369.1346943,683.6509399,11.10638,3234.469,0,3234.469,0,369.1346943,683.6509399,11.10638,3234.469,0,3234.469,0,369.1346943,683.6509399
t1288,11.53196,2918.075,378.2872,2918.075,378.2872,366.2385941,469.9905701,11.53196,2918.075,378.2872,2918.075,378.2872,366.2385941,469.9905701,11.53196,2918.075,378.2872,2918.075,378.2872,366.2385941,469.9905701,11.53196,2918.075,378.2872,2918.075,378.2872,366.2385941,469.9905701
t1289,12.25576,1698.572,892.576,1698.572,892.576,364.0514016,346.2526245,12.25576,1698.572,892.576,1698.572,892.576,364.0514016,346.2526245,12.25576,1698.572,892.576,1698.572,892.576,364.0514016,346.2526245,12.25576,1698.572,892.576,1698.572,892.576,364.0514016,346.2526245
t1290,11.91818,693.6019,2351.87,693.6019,2351.87,361.8641794,508.8207703,11.91818,693.6019,2351.87,693.6019,2351.87,361.8641794,508.8207703,11.91818,693.6019,2351.87,693.6019,2351.87,361.8641794,508.8207703,11.91818,693.6019,2351.87,693.6019,2351.87,361.8641794,508.8207703
t1291,12.08331,331.8978,1208.712,331.8978,1208.712,359.6769869,488.5378113,12.08331,331.8978,1208.712,331.8978,1208.712,359.6769869,488.5378113,12.08331,331.8978,1208.712,331.8978,1208.712,359.6769869,488.5378113,12.08331,331.8978,1208.712,331.8978,1208.712,359.6769869,488.5378113
t1292,13.93158,0,0,0,0,358.7967753,347.524292,13.93158,0,0,0,0,358.7967753,347.524292,13.93158,0,0,0,0,358.7967753,347.524292,13.93158,0,0,0,0,358.7967753,347.524292
t1293,14.90083,0,248.5192,0,248.5192,357.9165339,487.2171021,14.90083,0,248.5192,0,248.5192,357.9165339,487.2171021,14.90083,0,248.5192,0,248.5192,357.9165339,487.2171021,14.90083,0,248.5192,0,248.5192,357.9165339,487.2171021
t1294,14.51725,0,358.6699,0,358.6699,357.0362926,706.4176025,14.51725,0,358.6699,0,358.6699,357.0362926,706.4176025,14.51725,0,358.6699,0,358.6699,357.0362926,706.4176025,14.51725,0,358.6699,0,358.6699,357.0362926,706.4176025
t1295,12.46283,0,263.4349,0,263.4349,355.9682071,398.9978333,12.46283,0,263.4349,0,263.4349,355.9682071,398.9978333,12.46283,0,263.4349,0,263.4349,355.9682071,398.9978333,12.46283,0,263.4349,0,263.4349,355.9682071,398.9978333
t1296,10.36047,0,0,0,0,354.9001217,672.7636108,10.36047,0,0,0,0,354.9001217,672.7636108,10.36047,0,0,0,0,354.9001217,672.7636108,10.36047,0,0,0,0,354.9001217,672.7636108
t1297,10.00028,0,196.4719,0,196.4719,353.8320363,760.453125,10.00028,0,196.4719,0,196.4719,353.8320363,760.453125,10.00028,0,196.4719,0,196.4719,353.8320363,760.453125,10.00028,0,196.4719,0,196.4719,353.8320363,760.453125
t1298,9.780932,0,778.1399,0,778.1399,355.6980789,840.4746094,9.780932,0,778.1399,0,778.1399,355.6980789,840.4746094,9.780932,0,778.1399,0,778.1399,355.6980789,840.4746094,9.780932,0,778.1399,0,778.1399,355.6980789,840.4746094
t1299,9.68557,0,547.7076,0,547.7076,357.5640917,980.3768921,9.68557,0,547.7076,0,547.7076,357.5640917,980.3768921,9.68557,0,547.7076,0,547.7076,357.5640917,980.3768921,9.68557,0,547.7076,0,547.7076,357.5640917,980.3768921
t1300,9.615036,0,679.7551,0,679.7551,359.3351841,1034.859009,9.615036,0,679.7551,0,679.7551,359.3351841,1034.859009,9.615036,0,679.7551,0,679.7551,359.3351841,1034.859009,9.615036,0,679.7551,0,679.7551,359.3351841,1034.859009
t1301,9.72417,0,1571.852,0,1571.852,364.6483719,774.2973022,9.72417,0,1571.852,0,1571.852,364.6483719,774.2973022,9.72417,0,1571.852,0,1571.852,364.6483719,774.2973022,9.72417,0,1571.852,0,1571.852,364.6483719,774.2973022
t1302,10.21152,0,1026.566,0,1026.566,369.8666394,790.7628174,10.21152,0,1026.566,0,1026.566,369.8666394,790.7628174,10.21152,0,1026.566,0,1026.566,369.8666394,790.7628174,10.21152,0,1026.566,0,1026.566,369.8666394,790.7628174
t1303,10.37949,0,733.8611,0,733.8611,375.084877,1093.33606,10.37949,0,733.8611,0,733.8611,375.084877,1093.33606,10.37949,0,733.8611,0,733.8611,375.084877,1093.33606,10.37949,0,733.8611,0,733.8611,375.084877,1093.33606
t1304,11.63414,602.1024,216.9341,602.1024,216.9341,381.5730512,1474.782104,11.63414,602.1024,216.9341,602.1024,216.9341,381.5730512,1474.782104,11.63414,602.1024,216.9341,602.1024,216.9341,381.5730512,1474.782104,11.63414,602.1024,216.9341,602.1024,216.9341,381.5730512,1474.782104
t1305,11.75421,1864.858,153.8581,1864.858,153.8581,388.0611956,2035.730713,11.75421,1864.858,153.8581,1864.858,153.8581,388.0611956,2035.730713,11.75421,1864.858,153.8581,1864.858,153.8581,388.0611956,2035.730713,11.75421,1864.858,153.8581,1864.858,153.8581,388.0611956,2035.730713
t1306,12.01245,2622.117,0,2622.117,0,394.5493698,3220.749512,12.01245,2622.117,0,2622.117,0,394.5493698,3220.749512,12.01245,2622.117,0,2622.117,0,394.5493698,3220.749512,12.01245,2622.117,0,2622.117,0,394.5493698,3220.749512
t1307,11.7366,3519.616,0,3519.616,0,428.6826849,2858.345703,11.7366,3519.616,0,3519.616,0,428.6826849,2858.345703,11.7366,3519.616,0,3519.616,0,428.6826849,2858.345703,11.7366,3519.616,0,3519.616,0,428.6826849,2858.345703
t1308,11.40095,3585.797,410.588,3585.797,410.588,456.9839537,3437.509277,11.40095,3585.797,410.588,3585.797,410.588,456.9839537,3437.509277,11.40095,3585.797,410.588,3585.797,410.588,456.9839537,3437.509277,11.40095,3585.797,410.588,3585.797,410.588,456.9839537,3437.509277
t1309,11.89539,4124.631,889.2795,4124.631,889.2795,476.069212,3752.126221,11.89539,4124.631,889.2795,4124.631,889.2795,476.069212,3752.126221,11.89539,4124.631,889.2795,4124.631,889.2795,476.069212,3752.126221,11.89539,4124.631,889.2795,4124.631,889.2795,476.069212,3752.126221
t1310,11.60414,4139.285,1159.044,4139.285,1159.044,474.467665,3220.275879,11.60414,4139.285,1159.044,4139.285,1159.044,474.467665,3220.275879,11.60414,4139.285,1159.044,4139.285,1159.044,474.467665,3220.275879,11.60414,4139.285,1159.044,4139.285,1159.044,474.467665,3220.275879
t1311,12.43201,4165.415,3170.263,4165.415,3170.263,472.866118,2258.597168,12.43201,4165.415,3170.263,4165.415,3170.263,472.866118,2258.597168,12.43201,4165.415,3170.263,4165.415,3170.263,472.866118,2258.597168,12.43201,4165.415,3170.263,4165.415,3170.263,472.866118,2258.597168
t1312,12.71886,3682.999,3886.034,3682.999,3886.034,471.264571,2207.164307,12.71886,3682.999,3886.034,3682.999,3886.034,471.264571,2207.164307,12.71886,3682.999,3886.034,3682.999,3886.034,471.264571,2207.164307,12.71886,3682.999,3886.034,3682.999,3886.034,471.264571,2207.164307
t1313,11.87625,2808.863,4245.567,2808.863,4245.567,474.0703702,2795.844238,11.87625,2808.863,4245.567,2808.863,4245.567,474.0703702,2795.844238,11.87625,2808.863,4245.567,2808.863,4245.567,474.0703702,2795.844238,11.87625,2808.863,4245.567,2808.863,4245.567,474.0703702,2795.844238
t1314,11.86431,1365.036,4500,1365.036,4500,476.8761396,2909.847412,11.86431,1365.036,4500,1365.036,4500,476.8761396,2909.847412,11.86431,1365.036,4500,1365.036,4500,476.8761396,2909.847412,11.86431,1365.036,4500,1365.036,4500,476.8761396,2909.847412
t1315,13.7253,390.9842,3407.589,390.9842,3407.589,479.6819091,2714.224609,13.7253,390.9842,3407.589,390.9842,3407.589,479.6819091,2714.224609,13.7253,390.9842,3407.589,390.9842,3407.589,479.6819091,2714.224609,13.7253,390.9842,3407.589,390.9842,3407.589,479.6819091,2714.224609
t1316,13.88487,0,4500,0,4500,479.3313742,2514.903809,13.88487,0,4500,0,4500,479.3313742,2514.903809,13.88487,0,4500,0,4500,479.3313742,2514.903809,13.88487,0,4500,0,4500,479.3313742,2514.903809
t1317,12.97182,0,3944.565,0,3944.565,478.9808095,2419.84668,12.97182,0,3944.565,0,3944.565,478.9808095,2419.84668,12.97182,0,3944.565,0,3944.565,478.9808095,2419.84668,12.97182,0,3944.565,0,3944.565,478.9808095,2419.84668
t1318,12.33137,0,2085.472,0,2085.472,478.6146879,2212.9021,12.33137,0,2085.472,0,2085.472,478.6146879,2212.9021,12.33137,0,2085.472,0,2085.472,478.6146879,2212.9021,12.33137,0,2085.472,0,2085.472,478.6146879,2212.9021
t1319,11.37861,0,1547.434,0,1547.434,477.0614505,1813.014038,11.37861,0,1547.434,0,1547.434,477.0614505,1813.014038,11.37861,0,1547.434,0,1547.434,477.0614505,1813.014038,11.37861,0,1547.434,0,1547.434,477.0614505,1813.014038
t1320,10.6694,0,2084.971,0,2084.971,475.4926264,1596.006958,10.6694,0,2084.971,0,2084.971,475.4926264,1596.006958,10.6694,0,2084.971,0,2084.971,475.4926264,1596.006958,10.6694,0,2084.971,0,2084.971,475.4926264,1596.006958
t1321,10.1244,0,1384.483,0,1384.483,473.9238024,1560.212158,10.1244,0,1384.483,0,1384.483,473.9238024,1560.212158,10.1244,0,1384.483,0,1384.483,473.9238024,1560.212158,10.1244,0,1384.483,0,1384.483,473.9238024,1560.212158
t1322,9.886828,0,2276.141,0,2276.141,466.663301,1643.941772,9.886828,0,2276.141,0,2276.141,466.663301,1643.941772,9.886828,0,2276.141,0,2276.141,466.663301,1643.941772,9.886828,0,2276.141,0,2276.141,466.663301,1643.941772
t1323,9.76477,0,2753.008,0,2753.008,458.8200748,1646.86084,9.76477,0,2753.008,0,2753.008,458.8200748,1646.86084,9.76477,0,2753.008,0,2753.008,458.8200748,1646.86084,9.76477,0,2753.008,0,2753.008,458.8200748,1646.86084
t1324,10.10623,0,3213.481,0,3213.481,450.9768784,1520.842529,10.10623,0,3213.481,0,3213.481,450.9768784,1520.842529,10.10623,0,3213.481,0,3213.481,450.9768784,1520.842529,10.10623,0,3213.481,0,3213.481,450.9768784,1520.842529
t1325,10.31792,0,1320.418,0,1320.418,446.6179013,1364.236084,10.31792,0,1320.418,0,1320.418,446.6179013,1364.236084,10.31792,0,1320.418,0,1320.418,446.6179013,1364.236084,10.31792,0,1320.418,0,1320.418,446.6179013,1364.236084
t1326,10.49686,0,902.8604,0,902.8604,442.2588944,1385.145874,10.49686,0,902.8604,0,902.8604,442.2588944,1385.145874,10.49686,0,902.8604,0,902.8604,442.2588944,1385.145874,10.49686,0,902.8604,0,902.8604,442.2588944,1385.145874
t1327,10.69747,0,3128.838,0,3128.838,437.8999174,1548.6073,10.69747,0,3128.838,0,3128.838,437.8999174,1548.6073,10.69747,0,3128.838,0,3128.838,437.8999174,1548.6073,10.69747,0,3128.838,0,3128.838,437.8999174,1548.6073
t1328,11.82268,603.689,4363.768,603.689,4363.768,434.4537854,1671.123657,11.82268,603.689,4363.768,603.689,4363.768,434.4537854,1671.123657,11.82268,603.689,4363.768,603.689,4363.768,434.4537854,1671.123657,11.82268,603.689,4363.768,603.689,4363.768,434.4537854,1671.123657
t1329,12.75075,1790.09,2464.763,1790.09,2464.763,431.0076833,1782.78894,12.75075,1790.09,2464.763,1790.09,2464.763,431.0076833,1782.78894,12.75075,1790.09,2464.763,1790.09,2464.763,431.0076833,1782.78894,12.75075,1790.09,2464.763,1790.09,2464.763,431.0076833,1782.78894
t1330,12.29978,2740.53,4430.262,2740.53,4430.262,427.5615513,1929.721069,12.29978,2740.53,4430.262,2740.53,4430.262,427.5615513,1929.721069,12.29978,2740.53,4430.262,2740.53,4430.262,427.5615513,1929.721069,12.29978,2740.53,4430.262,2740.53,4430.262,427.5615513,1929.721069
t1331,11.73894,3458.054,915.7058,3458.054,915.7058,428.8547635,1864.548218,11.73894,3458.054,915.7058,3458.054,915.7058,428.8547635,1864.548218,11.73894,3458.054,915.7058,3458.054,915.7058,428.8547635,1864.548218,11.73894,3458.054,915.7058,3458.054,915.7058,428.8547635,1864.548218
t1332,10.93611,3834.863,1393.551,3834.863,1393.551,430.1479459,2253.538574,10.93611,3834.863,1393.551,3834.863,1393.551,430.1479459,2253.538574,10.93611,3834.863,1393.551,3834.863,1393.551,430.1479459,2253.538574,10.93611,3834.863,1393.551,3834.863,1393.551,430.1479459,2253.538574
t1333,11.41888,4528.073,1685.868,4528.073,1685.868,431.4155281,2486.0354,11.41888,4528.073,1685.868,4528.073,1685.868,431.4155281,2486.0354,11.41888,4528.073,1685.868,4528.073,1685.868,431.4155281,2486.0354,11.41888,4528.073,1685.868,4528.073,1685.868,431.4155281,2486.0354
t1334,12.54428,4130.06,705.0259,4130.06,705.0259,425.5860448,2470.095459,12.54428,4130.06,705.0259,4130.06,705.0259,425.5860448,2470.095459,12.54428,4130.06,705.0259,4130.06,705.0259,425.5860448,2470.095459,12.54428,4130.06,705.0259,4130.06,705.0259,425.5860448,2470.095459
t1335,14.16069,3625.373,1616.783,3625.373,1616.783,419.7309315,2491.260742,14.16069,3625.373,1616.783,3625.373,1616.783,419.7309315,2491.260742,14.16069,3625.373,1616.783,3625.373,1616.783,419.7309315,2491.260742,14.16069,3625.373,1616.783,3625.373,1616.783,419.7309315,2491.260742
t1336,13.48565,3390.629,891.2016,3390.629,891.2016,413.8758183,2521.198242,13.48565,3390.629,891.2016,3390.629,891.2016,413.8758183,2521.198242,13.48565,3390.629,891.2016,3390.629,891.2016,413.8758183,2521.198242,13.48565,3390.629,891.2016,3390.629,891.2016,413.8758183,2521.198242
t1337,12.36944,2247.136,0,2247.136,0,414.0297174,2815.925293,12.36944,2247.136,0,2247.136,0,414.0297174,2815.925293,12.36944,2247.136,0,2247.136,0,414.0297174,2815.925293,12.36944,2247.136,0,2247.136,0,414.0297174,2815.925293
t1338,11.86312,1200.578,225.0415,1200.578,225.0415,414.1836464,2963.634033,11.86312,1200.578,225.0415,1200.578,225.0415,414.1836464,2963.634033,11.86312,1200.578,225.0415,1200.578,225.0415,414.1836464,2963.634033,11.86312,1200.578,225.0415,1200.578,225.0415,414.1836464,2963.634033
t1339,13.09414,297.7293,268.8451,297.7293,268.8451,414.3375754,2975.912842,13.09414,297.7293,268.8451,297.7293,268.8451,414.3375754,2975.912842,13.09414,297.7293,268.8451,297.7293,268.8451,414.3375754,2975.912842,13.09414,297.7293,268.8451,297.7293,268.8451,414.3375754,2975.912842
t1340,14.41709,0,0,0,0,416.2431657,3152.98584,14.41709,0,0,0,0,416.2431657,3152.98584,14.41709,0,0,0,0,416.2431657,3152.98584,14.41709,0,0,0,0,416.2431657,3152.98584
t1341,13.81596,0,117.8031,0,117.8031,418.1487858,3167.531006,13.81596,0,117.8031,0,117.8031,418.1487858,3167.531006,13.81596,0,117.8031,0,117.8031,418.1487858,3167.531006,13.81596,0,117.8031,0,117.8031,418.1487858,3167.531006
t1342,12.54688,0,0,0,0,420.0543761,3056.539307,12.54688,0,0,0,0,420.0543761,3056.539307,12.54688,0,0,0,0,420.0543761,3056.539307,12.54688,0,0,0,0,420.0543761,3056.539307
t1343,11.67472,0,195.2436,0,195.2436,416.5297151,2625.342529,11.67472,0,195.2436,0,195.2436,416.5297151,2625.342529,11.67472,0,195.2436,0,195.2436,416.5297151,2625.342529,11.67472,0,195.2436,0,195.2436,416.5297151,2625.342529
t1344,10.80184,0,556.5916,0,556.5916,413.005054,2294.756104,10.80184,0,556.5916,0,556.5916,413.005054,2294.756104,10.80184,0,556.5916,0,556.5916,413.005054,2294.756104,10.80184,0,556.5916,0,556.5916,413.005054,2294.756104
t1345,10.40621,0,871.8352,0,871.8352,409.4803929,2116.688721,10.40621,0,871.8352,0,871.8352,409.4803929,2116.688721,10.40621,0,871.8352,0,871.8352,409.4803929,2116.688721,10.40621,0,871.8352,0,871.8352,409.4803929,2116.688721
t1346,10.12258,0,1392.972,0,1392.972,405.294925,1975.267822,10.12258,0,1392.972,0,1392.972,405.294925,1975.267822,10.12258,0,1392.972,0,1392.972,405.294925,1975.267822,10.12258,0,1392.972,0,1392.972,405.294925,1975.267822
t1347,9.897278,0,2129.069,0,2129.069,401.109457,1721.050049,9.897278,0,2129.069,0,2129.069,401.109457,1721.050049,9.897278,0,2129.069,0,2129.069,401.109457,1721.050049,9.897278,0,2129.069,0,2129.069,401.109457,1721.050049
t1348,9.719959,0,212.0739,0,212.0739,396.9239891,1428.84668,9.719959,0,212.0739,0,212.0739,396.9239891,1428.84668,9.719959,0,212.0739,0,212.0739,396.9239891,1428.84668,9.719959,0,212.0739,0,212.0739,396.9239891,1428.84668
t1349,9.741892,0,0,0,0,396.8299627,1111.812256,9.741892,0,0,0,0,396.8299627,1111.812256,9.741892,0,0,0,0,396.8299627,1111.812256,9.741892,0,0,0,0,396.8299627,1111.812256
t1350,9.51073,0,240.1594,0,240.1594,396.7359662,1080.547241,9.51073,0,240.1594,0,240.1594,396.7359662,1080.547241,9.51073,0,240.1594,0,240.1594,396.7359662,1080.547241,9.51073,0,240.1594,0,240.1594,396.7359662,1080.547241
t1351,9.305774,0,692.4558,0,692.4558,396.6419399,1392.185791,9.305774,0,692.4558,0,692.4558,396.6419399,1392.185791,9.305774,0,692.4558,0,692.4558,396.6419399,1392.185791,9.305774,0,692.4558,0,692.4558,396.6419399,1392.185791
t1352,8.838861,533.062,1857.75,533.062,1857.75,399.7963965,2139.603271,8.838861,533.062,1857.75,533.062,1857.75,399.7963965,2139.603271,8.838861,533.062,1857.75,533.062,1857.75,399.7963965,2139.603271,8.838861,533.062,1857.75,533.062,1857.75,399.7963965,2139.603271
t1353,9.308858,1121.413,2317.901,1121.413,2317.901,402.9508531,2914.283691,9.308858,1121.413,2317.901,1121.413,2317.901,402.9508531,2914.283691,9.308858,1121.413,2317.901,1121.413,2317.901,402.9508531,2914.283691,9.308858,1121.413,2317.901,1121.413,2317.901,402.9508531,2914.283691
t1354,10.13077,2311.571,3448.549,2311.571,3448.549,406.1053097,3111.349365,10.13077,2311.571,3448.549,2311.571,3448.549,406.1053097,3111.349365,10.13077,2311.571,3448.549,2311.571,3448.549,406.1053097,3111.349365,10.13077,2311.571,3448.549,2311.571,3448.549,406.1053097,3111.349365
t1355,9.264345,2221.166,539.4601,2221.166,539.4601,397.5312114,3044.543457,9.264345,2221.166,539.4601,2221.166,539.4601,397.5312114,3044.543457,9.264345,2221.166,539.4601,2221.166,539.4601,397.5312114,3044.543457,9.264345,2221.166,539.4601,2221.166,539.4601,397.5312114,3044.543457
t1356,9.11054,2933.989,346.5447,2933.989,346.5447,389.308244,2381.36377,9.11054,2933.989,346.5447,2933.989,346.5447,389.308244,2381.36377,9.11054,2933.989,346.5447,2933.989,346.5447,389.308244,2381.36377,9.11054,2933.989,346.5447,2933.989,346.5447,389.308244,2381.36377
t1357,9.661392,2787.559,1631.668,2787.559,1631.668,381.3563585,1921.217896,9.661392,2787.559,1631.668,2787.559,1631.668,381.3563585,1921.217896,9.661392,2787.559,1631.668,2787.559,1631.668,381.3563585,1921.217896,9.661392,2787.559,1631.668,2787.559,1631.668,381.3563585,1921.217896
t1358,10.76922,2583.226,315.8808,2583.226,315.8808,374.1518557,1726.848267,10.76922,2583.226,315.8808,2583.226,315.8808,374.1518557,1726.848267,10.76922,2583.226,315.8808,2583.226,315.8808,374.1518557,1726.848267,10.76922,2583.226,315.8808,2583.226,315.8808,374.1518557,1726.848267
t1359,10.72062,2422.839,1357.575,2422.839,1357.575,366.9473529,1695.066772,10.72062,2422.839,1357.575,2422.839,1357.575,366.9473529,1695.066772,10.72062,2422.839,1357.575,2422.839,1357.575,366.9473529,1695.066772,10.72062,2422.839,1357.575,2422.839,1357.575,366.9473529,1695.066772
t1360,10.39856,1769.661,537.076,1769.661,537.076,359.7428501,1724.151611,10.39856,1769.661,537.076,1769.661,537.076,359.7428501,1724.151611,10.39856,1769.661,537.076,1769.661,537.076,359.7428501,1724.151611,10.39856,1769.661,537.076,1769.661,537.076,359.7428501,1724.151611
t1361,10.36047,1158.394,4159.393,1158.394,4159.393,358.6530685,1507.900757,10.36047,1158.394,4159.393,1158.394,4159.393,358.6530685,1507.900757,10.36047,1158.394,4159.393,1158.394,4159.393,358.6530685,1507.900757,10.36047,1158.394,4159.393,1158.394,4159.393,358.6530685,1507.900757
t1362,11.01593,396.273,2047.75,396.273,2047.75,357.563287,1314.049927,11.01593,396.273,2047.75,396.273,2047.75,357.563287,1314.049927,11.01593,396.273,2047.75,396.273,2047.75,357.563287,1314.049927,11.01593,396.273,2047.75,396.273,2047.75,357.563287,1314.049927
t1363,13.12325,225.8745,1831.739,225.8745,1831.739,356.4734757,1241.973145,13.12325,225.8745,1831.739,225.8745,1831.739,356.4734757,1241.973145,13.12325,225.8745,1831.739,225.8745,1831.739,356.4734757,1241.973145,13.12325,225.8745,1831.739,225.8745,1831.739,356.4734757,1241.973145
t1364,13.9861,0,2038.677,0,2038.677,360.3359759,1279.72937,13.9861,0,2038.677,0,2038.677,360.3359759,1279.72937,13.9861,0,2038.677,0,2038.677,360.3359759,1279.72937,13.9861,0,2038.677,0,2038.677,360.3359759,1279.72937
t1365,13.50009,0,932.722,0,932.722,364.6395802,966.6201782,13.50009,0,932.722,0,932.722,364.6395802,966.6201782,13.50009,0,932.722,0,932.722,364.6395802,966.6201782,13.50009,0,932.722,0,932.722,364.6395802,966.6201782
t1366,12.49247,0,971.1968,0,971.1968,368.9760566,741.3245239,12.49247,0,971.1968,0,971.1968,368.9760566,741.3245239,12.49247,0,971.1968,0,971.1968,368.9760566,741.3245239,12.49247,0,971.1968,0,971.1968,368.9760566,741.3245239
