,demand_R1,PV_B_R1,WindOnshore_B_R1,PV_N_R1,WindOnshore_N_R1,Wave_N_R1,WindOffshore_N_R1,demand_R2,PV_B_R2,WindOnshore_B_R2,PV_N_R2,WindOnshore_N_R2,Wave_N_R2,WindOffshore_N_R2,demand_R3,PV_B_R3,WindOnshore_B_R3,PV_N_R3,WindOnshore_N_R3,Wave_N_R3,WindOffshore_N_R3,demand_R4,PV_B_R4,WindOnshore_B_R4,PV_N_R4,WindOnshore_N_R4,Wave_N_R4,WindOffshore_N_R4
t0023,11.17207,0,3757.269,0,3757.269,278.0397534,796.7907104,11.17207,0,3757.269,0,3757.269,278.0397534,796.7907104,11.17207,0,3757.269,0,3757.269,278.0397534,796.7907104,11.17207,0,3757.269,0,3757.269,278.0397534,796.7907104
t0024,10.12531,0,4500,0,4500,279.4484496,427.074646,10.12531,0,4500,0,4500,279.4484496,427.074646,10.12531,0,4500,0,4500,279.4484496,427.074646,10.12531,0,4500,0,4500,279.4484496,427.074646
t0025,9.324312,0,4500,0,4500,280.8571756,344.3335571,9.324312,0,4500,0,4500,280.8571756,344.3335571,9.324312,0,4500,0,4500,280.8571756,344.3335571,9.324312,0,4500,0,4500,280.8571756,344.3335571
t0026,8.874883,0,4279.085,0,4279.085,281.6754282,236.4260864,8.874883,0,4279.085,0,4279.085,281.6754282,236.4260864,8.874883,0,4279.085,0,4279.085,281.6754282,236.4260864,8.874883,0,4279.085,0,4279.085,281.6754282,236.4260864
t0027,8.622339,0,4500,0,4500,282.4936509,107.6224442,8.622339,0,4500,0,4500,282.4936509,107.6224442,8.622339,0,4500,0,4500,282.4936509,107.6224442,8.622339,0,4500,0,4500,282.4936509,107.6224442
t0028,8.483662,0,4500,0,4500,283.3119035,0,8.483662,0,4500,0,4500,283.3119035,0,8.483662,0,4500,0,4500,283.3119035,0,8.483662,0,4500,0,4500,283.3119035,0
t0029,8.50567,0,4451.237,0,4451.237,285.259366,0,8.50567,0,4451.237,0,4451.237,285.259366,0,8.50567,0,4451.237,0,4451.237,285.259366,0,8.50567,0,4451.237,0,4451.237,285.259366,0
t0030,8.475522,0,4500,0,4500,287.234664,45.42189789,8.475522,0,4500,0,4500,287.234664,45.42189789,8.475522,0,4500,0,4500,287.234664,45.42189789,8.475522,0,4500,0,4500,287.234664,45.42189789
t0031,8.1604,60.40992,4500,60.40992,4500,289.3529832,61.01488495,8.1604,60.40992,4500,60.40992,4500,289.3529832,61.01488495,8.1604,60.40992,4500,60.40992,4500,289.3529832,61.01488495,8.1604,60.40992,4500,60.40992,4500,289.3529832,61.01488495
t0032,8.179234,816.0871,4500,816.0871,4500,289.9730504,142.7953949,8.179234,816.0871,4500,816.0871,4500,289.9730504,142.7953949,8.179234,816.0871,4500,816.0871,4500,289.9730504,142.7953949,8.179234,816.0871,4500,816.0871,4500,289.9730504,142.7953949
t0033,8.116325,1896.853,4500,1896.853,4500,290.5931473,171.1725464,8.116325,1896.853,4500,1896.853,4500,290.5931473,171.1725464,8.116325,1896.853,4500,1896.853,4500,290.5931473,171.1725464,8.116325,1896.853,4500,1896.853,4500,290.5931473,171.1725464
t0034,7.870704,2707.161,4380.649,2707.161,4380.649,291.2132144,180.71492,7.870704,2707.161,4380.649,2707.161,4380.649,291.2132144,180.71492,7.870704,2707.161,4380.649,2707.161,4380.649,291.2132144,180.71492,7.870704,2707.161,4380.649,2707.161,4380.649,291.2132144,180.71492
t0035,7.48778,2890.1,4500,2890.1,4500,288.631618,704.4368896,7.48778,2890.1,4500,2890.1,4500,288.631618,704.4368896,7.48778,2890.1,4500,2890.1,4500,288.631618,704.4368896,7.48778,2890.1,4500,2890.1,4500,288.631618,704.4368896
t0036,7.551624,2715.934,4490.993,2715.934,4490.993,286.3432765,663.2012939,7.551624,2715.934,4490.993,2715.934,4490.993,286.3432765,663.2012939,7.551624,2715.934,4490.993,2715.934,4490.993,286.3432765,663.2012939,7.551624,2715.934,4490.993,2715.934,4490.993,286.3432765,663.2012939
t0037,7.329122,2514.68,1832.042,2514.68,1832.042,284.054935,616.2185669,7.329122,2514.68,1832.042,2514.68,1832.042,284.054935,616.2185669,7.329122,2514.68,1832.042,2514.68,1832.042,284.054935,616.2185669,7.329122,2514.68,1832.042,2514.68,1832.042,284.054935,616.2185669
t0038,7.373858,3647.217,2900.489,3647.217,2900.489,282.288909,722.796875,7.373858,3647.217,2900.489,3647.217,2900.489,282.288909,722.796875,7.373858,3647.217,2900.489,3647.217,2900.489,282.288909,722.796875,7.373858,3647.217,2900.489,3647.217,2900.489,282.288909,722.796875
t0039,7.905013,3112.743,2956.773,3112.743,2956.773,280.4057896,829.7728882,7.905013,3112.743,2956.773,3112.743,2956.773,280.4057896,829.7728882,7.905013,3112.743,2956.773,3112.743,2956.773,280.4057896,829.7728882,7.905013,3112.743,2956.773,3112.743,2956.773,280.4057896,829.7728882
t0040,8.577021,3081.285,4500,3081.285,4500,278.5226703,629.9329834,8.577021,3081.285,4500,3081.285,4500,278.5226703,629.9329834,8.577021,3081.285,4500,3081.285,4500,278.5226703,629.9329834,8.577021,3081.285,4500,3081.285,4500,278.5226703,629.9329834
t0041,8.767796,1843.995,4500,1843.995,4500,277.9504657,613.0014648,8.767796,1843.995,4500,1843.995,4500,277.9504657,613.0014648,8.767796,1843.995,4500,1843.995,4500,277.9504657,613.0014648,8.767796,1843.995,4500,1843.995,4500,277.9504657,613.0014648
t0042,8.845763,1168.856,4500,1168.856,4500,277.3782313,871.2628174,8.845763,1168.856,4500,1168.856,4500,277.3782313,871.2628174,8.845763,1168.856,4500,1168.856,4500,277.3782313,871.2628174,8.845763,1168.856,4500,1168.856,4500,277.3782313,871.2628174
t0043,9.092155,313.4597,4500,313.4597,4500,276.7825425,1187.063477,9.092155,313.4597,4500,313.4597,4500,276.7825425,1187.063477,9.092155,313.4597,4500,313.4597,4500,276.7825425,1187.063477,9.092155,313.4597,4500,313.4597,4500,276.7825425,1187.063477
t0044,9.901639,0,0,0,0,278.2386243,1539.562988,9.901639,0,0,0,0,278.2386243,1539.562988,9.901639,0,0,0,0,278.2386243,1539.562988,9.901639,0,0,0,0,278.2386243,1539.562988
t0045,11.13,0,4500,0,4500,279.694736,1830.175659,11.13,0,4500,0,4500,279.694736,1830.175659,11.13,0,4500,0,4500,279.694736,1830.175659,11.13,0,4500,0,4500,279.694736,1830.175659
t0046,10.95179,0,4500,0,4500,281.1508179,2175.857666,10.95179,0,4500,0,4500,281.1508179,2175.857666,10.95179,0,4500,0,4500,281.1508179,2175.857666,10.95179,0,4500,0,4500,281.1508179,2175.857666
t0047,10.26727,0,4500,0,4500,279.2567015,2719.827881,10.26727,0,4500,0,4500,279.2567015,2719.827881,10.26727,0,4500,0,4500,279.2567015,2719.827881,10.26727,0,4500,0,4500,279.2567015,2719.827881
t0048,9.592024,0,4500,0,4500,277.3625851,2832.890137,9.592024,0,4500,0,4500,277.3625851,2832.890137,9.592024,0,4500,0,4500,277.3625851,2832.890137,9.592024,0,4500,0,4500,277.3625851,2832.890137
t0049,9.271223,0,1309.867,0,1309.867,275.4684687,2079.696289,9.271223,0,1309.867,0,1309.867,275.4684687,2079.696289,9.271223,0,1309.867,0,1309.867,275.4684687,2079.696289,9.271223,0,1309.867,0,1309.867,275.4684687,2079.696289
t0050,8.983508,0,3694.489,0,3694.489,274.3524611,1593.549927,8.983508,0,3694.489,0,3694.489,274.3524611,1593.549927,8.983508,0,3694.489,0,3694.489,274.3524611,1593.549927,8.983508,0,3694.489,0,3694.489,274.3524611,1593.549927
t0051,8.846454,0,1252.619,0,1252.619,273.2364237,1591.504272,8.846454,0,1252.619,0,1252.619,273.2364237,1591.504272,8.846454,0,1252.619,0,1252.619,273.2364237,1591.504272,8.846454,0,1252.619,0,1252.619,273.2364237,1591.504272
t0052,8.828531,0,2192.766,0,2192.766,272.1204162,1879.876343,8.828531,0,2192.766,0,2192.766,272.1204162,1879.876343,8.828531,0,2192.766,0,2192.766,272.1204162,1879.876343,8.828531,0,2192.766,0,2192.766,272.1204162,1879.876343
t0053,8.988515,0,2173.742,0,2173.742,270.4482079,2252.655518,8.988515,0,2173.742,0,2173.742,270.4482079,2252.655518,8.988515,0,2173.742,0,2173.742,270.4482079,2252.655518,8.988515,0,2173.742,0,2173.742,270.4482079,2252.655518
t0054,8.880454,0,4500,0,4500,268.7759697,2328.299561,8.880454,0,4500,0,4500,268.7759697,2328.299561,8.880454,0,4500,0,4500,268.7759697,2328.299561,8.880454,0,4500,0,4500,268.7759697,2328.299561
t0055,8.507562,154.3798,4500,154.3798,4500,267.1037316,2398.175293,8.507562,154.3798,4500,154.3798,4500,267.1037316,2398.175293,8.507562,154.3798,4500,154.3798,4500,267.1037316,2398.175293,8.507562,154.3798,4500,154.3798,4500,267.1037316,2398.175293
t0056,8.78544,741.7209,4356.513,741.7209,4356.513,267.796278,2094.150635,8.78544,741.7209,4356.513,741.7209,4356.513,267.796278,2094.150635,8.78544,741.7209,4356.513,741.7209,4356.513,267.796278,2094.150635,8.78544,741.7209,4356.513,741.7209,4356.513,267.796278,2094.150635
t0057,9.721643,1475.346,3254.652,1475.346,3254.652,268.4887946,1640.063965,9.721643,1475.346,3254.652,1475.346,3254.652,268.4887946,1640.063965,9.721643,1475.346,3254.652,1475.346,3254.652,268.4887946,1640.063965,9.721643,1475.346,3254.652,1475.346,3254.652,268.4887946,1640.063965
t0058,10.86862,1730.088,750.9743,1730.088,750.9743,269.1813409,1590.382568,10.86862,1730.088,750.9743,1730.088,750.9743,269.1813409,1590.382568,10.86862,1730.088,750.9743,1730.088,750.9743,269.1813409,1590.382568,10.86862,1730.088,750.9743,1730.088,750.9743,269.1813409,1590.382568
t0059,10.16733,3371.05,542.4229,3371.05,542.4229,269.3322897,1657.070923,10.16733,3371.05,542.4229,3371.05,542.4229,269.3322897,1657.070923,10.16733,3371.05,542.4229,3371.05,542.4229,269.3322897,1657.070923,10.16733,3371.05,542.4229,3371.05,542.4229,269.3322897,1657.070923
t0060,10.45329,2913.023,808.977,2913.023,808.977,269.4832683,1435.63916,10.45329,2913.023,808.977,2913.023,808.977,269.4832683,1435.63916,10.45329,2913.023,808.977,2913.023,808.977,269.4832683,1435.63916,10.45329,2913.023,808.977,2913.023,808.977,269.4832683,1435.63916
t0061,10.62157,2280.832,818.5332,2280.832,818.5332,269.634217,1212.618774,10.62157,2280.832,818.5332,2280.832,818.5332,269.634217,1212.618774,10.62157,2280.832,818.5332,2280.832,818.5332,269.634217,1212.618774,10.62157,2280.832,818.5332,2280.832,818.5332,269.634217,1212.618774
t0062,11.79664,3019.851,4125.55,3019.851,4125.55,270.578593,1061.854736,11.79664,3019.851,4125.55,3019.851,4125.55,270.578593,1061.854736,11.79664,3019.851,4125.55,3019.851,4125.55,270.578593,1061.854736,11.79664,3019.851,4125.55,3019.851,4125.55,270.578593,1061.854736
t0063,10.38234,3089.28,2645.956,3089.28,2645.956,271.5229392,1114.759155,10.38234,3089.28,2645.956,3089.28,2645.956,271.5229392,1114.759155,10.38234,3089.28,2645.956,3089.28,2645.956,271.5229392,1114.759155,10.38234,3089.28,2645.956,3089.28,2645.956,271.5229392,1114.759155
t0064,10.72264,2826.089,4326.258,2826.089,4326.258,272.4673152,1312.55896,10.72264,2826.089,4326.258,2826.089,4326.258,272.4673152,1312.55896,10.72264,2826.089,4326.258,2826.089,4326.258,272.4673152,1312.55896,10.72264,2826.089,4326.258,2826.089,4326.258,272.4673152,1312.55896
t0065,10.90383,1842.286,4500,1842.286,4500,273.5843956,1621.070068,10.90383,1842.286,4500,1842.286,4500,273.5843956,1621.070068,10.90383,1842.286,4500,1842.286,4500,273.5843956,1621.070068,10.90383,1842.286,4500,1842.286,4500,273.5843956,1621.070068
t0066,9.645614,915.9255,4500,915.9255,4500,274.7014761,1804.626343,9.645614,915.9255,4500,915.9255,4500,274.7014761,1804.626343,9.645614,915.9255,4500,915.9255,4500,274.7014761,1804.626343,9.645614,915.9255,4500,915.9255,4500,274.7014761,1804.626343
t0067,9.9985,366.5775,4500,366.5775,4500,275.8185565,1932.453491,9.9985,366.5775,4500,366.5775,4500,275.8185565,1932.453491,9.9985,366.5775,4500,366.5775,4500,275.8185565,1932.453491,9.9985,366.5775,4500,366.5775,4500,275.8185565,1932.453491
t0068,10.91215,0,4500,0,4500,276.9489288,2139.246826,10.91215,0,4500,0,4500,276.9489288,2139.246826,10.91215,0,4500,0,4500,276.9489288,2139.246826,10.91215,0,4500,0,4500,276.9489288,2139.246826
t0069,12.67125,0,4500,0,4500,278.0792713,2055.881592,12.67125,0,4500,0,4500,278.0792713,2055.881592,12.67125,0,4500,0,4500,278.0792713,2055.881592,12.67125,0,4500,0,4500,278.0792713,2055.881592
t0070,12.33391,0,3352.303,0,3352.303,279.2096436,2331.517578,12.33391,0,3352.303,0,3352.303,279.2096436,2331.517578,12.33391,0,3352.303,0,3352.303,279.2096436,2331.517578,12.33391,0,3352.303,0,3352.303,279.2096436,2331.517578
t0071,11.29656,0,1733.031,0,1733.031,276.19645,2712.711914,11.29656,0,1733.031,0,1733.031,276.19645,2712.711914,11.29656,0,1733.031,0,1733.031,276.19645,2712.711914,11.29656,0,1733.031,0,1733.031,276.19645,2712.711914
t0072,10.14354,0,420.5599,0,420.5599,273.1832564,2588.895996,10.14354,0,420.5599,0,420.5599,273.1832564,2588.895996,10.14354,0,420.5599,0,420.5599,273.1832564,2588.895996,10.14354,0,420.5599,0,420.5599,273.1832564,2588.895996
t0073,9.551204,0,2421.16,0,2421.16,270.1700926,2432.989014,9.551204,0,2421.16,0,2421.16,270.1700926,2432.989014,9.551204,0,2421.16,0,2421.16,270.1700926,2432.989014,9.551204,0,2421.16,0,2421.16,270.1700926,2432.989014
t0074,9.260527,0,2007.193,0,2007.193,267.6667273,1638.653442,9.260527,0,2007.193,0,2007.193,267.6667273,1638.653442,9.260527,0,2007.193,0,2007.193,267.6667273,1638.653442,9.260527,0,2007.193,0,2007.193,267.6667273,1638.653442
t0075,9.058534,0,3952.339,0,3952.339,265.1633918,1381.254028,9.058534,0,3952.339,0,3952.339,265.1633918,1381.254028,9.058534,0,3952.339,0,3952.339,265.1633918,1381.254028,9.058534,0,3952.339,0,3952.339,265.1633918,1381.254028
t0076,9.008605,0,168.8712,0,168.8712,262.6600564,1523.286499,9.008605,0,168.8712,0,168.8712,262.6600564,1523.286499,9.008605,0,168.8712,0,168.8712,262.6600564,1523.286499,9.008605,0,168.8712,0,168.8712,262.6600564,1523.286499
t0077,9.112752,0,887.3463,0,887.3463,261.6366744,1545.904175,9.112752,0,887.3463,0,887.3463,261.6366744,1545.904175,9.112752,0,887.3463,0,887.3463,261.6366744,1545.904175,9.112752,0,887.3463,0,887.3463,261.6366744,1545.904175
t0078,9.026626,0,4500,0,4500,260.6057525,1931.21521,9.026626,0,4500,0,4500,260.6057525,1931.21521,9.026626,0,4500,0,4500,260.6057525,1931.21521,9.026626,0,4500,0,4500,260.6057525,1931.21521
t0079,8.58346,119.7136,3196.172,119.7136,3196.172,259.3117356,2825.120605,8.58346,119.7136,3196.172,119.7136,3196.172,259.3117356,2825.120605,8.58346,119.7136,3196.172,119.7136,3196.172,259.3117356,2825.120605,8.58346,119.7136,3196.172,119.7136,3196.172,259.3117356,2825.120605
t0080,8.744844,814.473,2581.355,814.473,2581.355,256.2427521,3641.987549,8.744844,814.473,2581.355,814.473,2581.355,256.2427521,3641.987549,8.744844,814.473,2581.355,814.473,2581.355,256.2427521,3641.987549,8.744844,814.473,2581.355,814.473,2581.355,256.2427521,3641.987549
t0081,9.666384,1852.267,4500,1852.267,4500,253.1737685,4282.095703,9.666384,1852.267,4500,1852.267,4500,253.1737685,4282.095703,9.666384,1852.267,4500,1852.267,4500,253.1737685,4282.095703,9.666384,1852.267,4500,1852.267,4500,253.1737685,4282.095703
t0082,10.53292,2747.924,0,2747.924,0,250.104785,5000,10.53292,2747.924,0,2747.924,0,250.104785,5000,10.53292,2747.924,0,2747.924,0,250.104785,5000,10.53292,2747.924,0,2747.924,0,250.104785,5000
t0083,10.0288,3346.609,0,3346.609,0,245.1270223,5000,10.0288,3346.609,0,3346.609,0,245.1270223,5000,10.0288,3346.609,0,3346.609,0,245.1270223,5000,10.0288,3346.609,0,3346.609,0,245.1270223,5000
t0084,9.812556,3833.173,4500,3833.173,4500,240.1492447,5000,9.812556,3833.173,4500,3833.173,4500,240.1492447,5000,9.812556,3833.173,4500,3833.173,4500,240.1492447,5000,9.812556,3833.173,4500,3833.173,4500,240.1492447,5000
t0085,10.6186,4167.502,4500,4167.502,4500,235.1714671,5000,10.6186,4167.502,4500,4167.502,4500,235.1714671,5000,10.6186,4167.502,4500,4167.502,4500,235.1714671,5000,10.6186,4167.502,4500,4167.502,4500,235.1714671,5000
t0086,11.69567,3775.665,4500,3775.665,4500,231.6038013,4844.805664,11.69567,3775.665,4500,3775.665,4500,231.6038013,4844.805664,11.69567,3775.665,4500,3775.665,4500,231.6038013,4844.805664,11.69567,3775.665,4500,3775.665,4500,231.6038013,4844.805664
t0087,11.3619,3430.414,4500,3430.414,4500,228.0361503,4104.94043,11.3619,3430.414,4500,3430.414,4500,228.0361503,4104.94043,11.3619,3430.414,4500,3430.414,4500,228.0361503,4104.94043,11.3619,3430.414,4500,3430.414,4500,228.0361503,4104.94043
t0088,11.24715,2914.493,4500,2914.493,4500,224.4684845,3574.896973,11.24715,2914.493,4500,2914.493,4500,224.4684845,3574.896973,11.24715,2914.493,4500,2914.493,4500,224.4684845,3574.896973,11.24715,2914.493,4500,2914.493,4500,224.4684845,3574.896973
