,demand_R1,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,demand_R2
t0051,8.846454,0,1252.619,0,1252.619,273.2364237,1591.504272,37079
t0052,8.828531,0,2192.766,0,2192.766,272.1204162,1879.876343,36246
t0053,8.988515,0,2173.742,0,2173.742,270.4482079,2252.655518,35721
t0054,8.880454,0,4500,0,4500,268.7759697,2328.299561,35879
t0055,8.507562,154.3798,4500,154.3798,4500,267.1037316,2398.175293,37649
t0056,8.78544,741.7209,4356.513,741.7209,4356.513,267.796278,2094.150635,39546
t0057,9.721643,1475.346,3254.652,1475.346,3254.652,268.4887946,1640.063965,41925
t0058,10.86862,1730.088,750.9743,1730.088,750.9743,269.1813409,1590.382568,44191
t0059,10.16733,3371.05,542.4229,3371.05,542.4229,269.3322897,1657.070923,45757
t0060,10.45329,2913.023,808.977,2913.023,808.977,269.4832683,1435.63916,47556
t0061,10.62157,2280.832,818.5332,2280.832,818.5332,269.634217,1212.618774,48349
t0062,11.79664,3019.851,4125.55,3019.851,4125.55,270.578593,1061.854736,48288
t0063,10.38234,3089.28,2645.956,3089.28,2645.956,271.5229392,1114.759155,47380
t0064,10.72264,2826.089,4326.258,2826.089,4326.258,272.4673152,1312.55896,47173
t0065,10.90383,1842.286,4500,1842.286,4500,273.5843956,1621.070068,49195
t0066,9.645614,915.9255,4500,915.9255,4500,274.7014761,1804.626343,51980
t0067,9.9985,366.5775,4500,366.5775,4500,275.8185565,1932.453491,52331
t0068,10.91215,0,4500,0,4500,276.9489288,2139.246826,50606
t0069,12.67125,0,4500,0,4500,278.0792713,2055.881592,47278
t0070,12.33391,0,3352.303,0,3352.303,279.2096436,2331.517578,46218
t0071,11.29656,0,1733.031,0,1733.031,276.19645,2712.711914,45967
t0072,10.14354,0,420.5599,0,420.5599,273.1832564,2588.895996,44272
t0073,9.551204,0,2421.16,0,2421.16,270.1700926,2432.989014,40461
t0074,9.260527,0,2007.193,0,2007.193,267.6667273,1638.653442,37615
t0075,9.058534,0,3952.339,0,3952.339,265.1633918,1381.254028,36253
t0076,9.008605,0,168.8712,0,168.8712,262.6600564,1523.286499,35502
t0077,9.112752,0,887.3463,0,887.3463,261.6366744,1545.904175,35678
t0078,9.026626,0,4500,0,4500,260.6057525,1931.21521,35299
t0079,8.58346,119.7136,3196.172,119.7136,3196.172,259.3117356,2825.120605,35114
t0080,8.744844,814.473,2581.355,814.473,2581.355,256.2427521,3641.987549,35943
t0081,9.666384,1852.267,4500,1852.267,4500,253.1737685,4282.095703,37226
t0082,10.53292,2747.924,0,2747.924,0,250.104785,5000,39287
t0083,10.0288,3346.609,0,3346.609,0,245.1270223,5000,41421
t0084,9.812556,3833.173,4500,3833.173,4500,240.1492447,5000,43800
t0085,10.6186,4167.502,4500,4167.502,4500,235.1714671,5000,44005
t0086,11.69567,3775.665,4500,3775.665,4500,231.6038013,4844.805664,43164
t0087,11.3619,3430.414,4500,3430.414,4500,228.0361503,4104.94043,41826
t0088,11.24715,2914.493,4500,2914.493,4500,224.4684845,3574.896973,41744
t0089,10.15085,2191.296,4212.511,2191.296,4212.511,221.8692452,2918.229736,43674
t0090,10.07188,1153.4,780.7386,1153.4,780.7386,219.0897912,2246.628906,47469
t0091,10.0503,336.0896,364.7511,336.0896,364.7511,216.0928547,2139.726563,48342
t0092,11.04241,0,1035.674,0,1035.674,214.0515596,2621.993408,47488
t0093,12.73213,0,266.8371,0,266.8371,212.0596319,2475.868408,45468
