                                         fixed  lower      upper
TA_data . 2030 . FuelImport . LPG          NaN    0.0  1000000.0
TA_data . 2030 . FuelImport . MDO          NaN    0.0  1000000.0
TA_data . 2030 . FuelImport . NG           NaN    0.0  1000000.0
TU_data . 2030 . Emission . CO2            NaN   -inf        NaN
TU_data . 2030 . FuelImport . Biomass      NaN    0.0        9.0
TU_data . 2030 . FuelImport . Diesel       NaN    0.0  1000000.0
TU_data . 2030 . FuelImport . Gasoline     NaN    0.0  1000000.0
TU_data . 2030 . FuelImport . JetA1        NaN    0.0  1000000.0
TU_data . 2030 . FuelImport . LPG          NaN    0.0  1000000.0
TU_data . 2030 . FuelImport . MDO          NaN    0.0  1000000.0
TU_data . 2030 . FuelImport . NG           NaN    0.0  1000000.0
VU_data . 2030 . Emission . CO2            NaN   -inf        NaN
VU_data . 2030 . FuelImport . Biomass      NaN    0.0      671.0
VU_data . 2030 . FuelImport . Diesel       NaN    0.0  1000000.0
VU_data . 2030 . FuelImport . Gasoline     NaN    0.0  1000000.0
VU_data . 2030 . FuelImport . JetA1        NaN    0.0  1000000.0
VU_data . 2030 . FuelImport . LPG          NaN    0.0  1000000.0
VU_data . 2030 . FuelImport . MDO          NaN    0.0  1000000.0
VU_data . 2030 . FuelImport . NG           NaN    0.0  1000000.0
